TABLE NO.  1
 TIME                 IPRED
  0.0000000000000E+00  1.0000000000000E+00
  1.0000000000000E+00  1.1971493029662E+00
  2.0000000000000E+00  1.4320097385117E+00
  3.0000000000000E+00  1.7087069096392E+00
  4.0000000000000E+00  2.0306081081190E+00
  5.0000000000000E+00  2.4006432021989E+00
  6.0000000000000E+00  2.8207244786554E+00
  7.0000000000000E+00  3.2908998375081E+00
  8.0000000000000E+00  3.8085932350458E+00
  9.0000000000000E+00  4.3679936470369E+00
  1.0000000000000E+01  4.9596961559456E+00
  1.1000000000000E+01  5.5707586414631E+00
  1.2000000000000E+01  6.1853155682740E+00
  1.3000000000000E+01  6.7857940608150E+00
  1.4000000000000E+01  7.3546219865975E+00
  1.5000000000000E+01  7.8761476152523E+00
  1.6000000000000E+01  8.3383763458783E+00
  1.7000000000000E+01  8.7341366614950E+00
  1.8000000000000E+01  9.0614311562797E+00
  1.9000000000000E+01  9.3229578974203E+00
  2.0000000000000E+01  9.5250073602600E+00
  2.0100000000000E+01  9.5422563950436E+00
  2.0200000000000E+01  9.5590041133641E+00
  2.0300000000000E+01  9.5752598324063E+00
  2.0400000000000E+01  9.5910329302729E+00
  2.0500000000000E+01  9.6063328230708E+00
  2.0600000000000E+01  9.6211689564924E+00
  2.0700000000000E+01  9.6355507950008E+00
  2.0800000000000E+01  9.6494878103476E+00
  2.0900000000000E+01  9.6629894714439E+00
  2.1000000000000E+01  9.6760652340515E+00
  2.2000000000000E+01  9.7854509276515E+00
  2.3000000000000E+01  9.8622254350544E+00
  2.4000000000000E+01  9.9144703963043E+00
  2.5000000000000E+01  9.9489279381160E+00
  2.6000000000000E+01  9.9709235519190E+00
  2.7000000000000E+01  9.9844729889129E+00
  2.8000000000000E+01  9.9924835114012E+00
  2.9000000000000E+01  9.9969835367675E+00
  2.9100000000000E+01  9.9972977599555E+00
  2.9200000000000E+01  9.9975919999834E+00
  2.9300000000000E+01  9.9978672755517E+00
  2.9400000000000E+01  9.9981245614701E+00
  2.9500000000000E+01  9.9983647903888E+00
  2.9600000000000E+01  9.9985888542439E+00
  2.9700000000000E+01  9.9987976057407E+00
  2.9800000000000E+01  9.9989918597916E+00
  2.9900000000000E+01  9.9991723949146E+00
  3.0000000000000E+01  9.9993399545797E+00
  4.0000000000000E+01  1.0000100345977E+01
  5.0000000000000E+01  9.9999992676060E+00
  6.0000000000000E+01  9.9999999855436E+00
  7.0000000000000E+01  1.0000000000367E+01
  8.0000000000000E+01  9.9999999999525E+00
  9.0000000000000E+01  1.0000000000006E+01
  1.0000000000000E+02  1.0000000000000E+01
  2.0000000000000E+02  1.0000000000000E+01
  3.0000000000000E+02  1.0000000000000E+01
  4.0000000000000E+02  1.0000000000000E+01
  5.0000000000000E+02  1.0000000000000E+01
