TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -8854  3.28211E+00  3.26224E+00 -6.02489E-01 -2.10161E-01  7.03457E-01  1.16420E+00  3.47235E-01  1.81658E-01  6.94806E-01  2.29317E+00  9.90910E-02  1.00000E+00  1.07837E-02  1.48099E-03  8.42694E-03  1.95806E-03 -3.39761E-05  1.01660E-02 -4.34329E-04  6.79058E-04  2.03438E-03  7.43942E-03   -19155.448690467118
        -8853  3.28207E+00  3.27526E+00 -6.08329E-01 -2.17346E-01  6.84048E-01  1.23032E+00  3.52751E-01  1.63869E-01  6.77207E-01  2.28509E+00  1.03416E-01  1.00000E+00  1.05721E-02  1.99634E-03  7.62556E-03  1.77145E-03  3.02516E-04  8.85154E-03  2.09763E-04  7.85851E-04  1.16943E-03  7.44157E-03   -19064.581734986572
        -8852  3.30853E+00  3.26916E+00 -6.15183E-01 -2.14262E-01  7.22585E-01  1.20889E+00  3.38971E-01  1.64326E-01  6.79126E-01  2.29231E+00  1.03630E-01  1.00000E+00  9.48125E-03  5.47634E-04  8.18791E-03  1.05773E-03  3.36543E-04  8.56745E-03 -4.94328E-04  2.65327E-06  4.78501E-04  8.52012E-03   -19160.853998572762
        -8851  3.35489E+00  3.24967E+00 -6.21994E-01 -2.07161E-01  7.07542E-01  1.19269E+00  3.41760E-01  1.71125E-01  6.78217E-01  2.29058E+00  1.01938E-01  1.00000E+00  1.20377E-02  2.08013E-03  7.33846E-03  1.04546E-03  5.14595E-04  8.53219E-03  4.35373E-04  1.29043E-03  2.01909E-04  8.33251E-03   -19067.368011890456
        -8850  3.25738E+00  3.24551E+00 -6.00423E-01 -2.06262E-01  7.21541E-01  1.14883E+00  3.39207E-01  1.83228E-01  6.74315E-01  2.28056E+00  1.02695E-01  1.00000E+00  1.09023E-02  2.36206E-04  6.14545E-03  7.88548E-04 -1.27024E-04  1.06584E-02 -9.41096E-05  1.54789E-03  7.61002E-04  9.32340E-03   -19156.817320384020
        -8849  3.29570E+00  3.24425E+00 -6.10195E-01 -2.05415E-01  7.59326E-01  1.17661E+00  3.30006E-01  1.77052E-01  6.68194E-01  2.28437E+00  1.02695E-01  1.00000E+00  1.17001E-02  7.35541E-04  7.08445E-03  1.70544E-03  1.22253E-03  9.00541E-03 -1.15135E-03  8.56667E-04  3.05597E-04  8.31808E-03   -19077.606773249630
        -8848  3.29766E+00  3.26439E+00 -6.12292E-01 -2.11859E-01  7.21907E-01  1.16541E+00  3.39238E-01  1.78806E-01  6.72124E-01  2.28707E+00  1.04640E-01  1.00000E+00  1.15670E-02  9.32824E-04  7.30245E-03  1.47148E-03  6.72308E-04  9.08124E-03  1.83765E-04  1.07297E-03  2.05152E-04  8.72840E-03   -19081.800206800755
        -8847  3.31704E+00  3.25652E+00 -6.20614E-01 -2.13823E-01  7.65949E-01  1.17506E+00  3.25721E-01  1.80622E-01  6.77870E-01  2.29336E+00  1.04675E-01  1.00000E+00  1.23092E-02  7.86976E-04  7.65885E-03  2.33568E-03 -1.08357E-04  9.00244E-03 -1.21410E-03  8.25585E-04  8.00655E-04  8.47309E-03   -19123.638654449998
        -8846  3.39510E+00  3.29469E+00 -6.37946E-01 -2.23785E-01  7.77839E-01  1.18523E+00  3.18956E-01  1.74747E-01  6.83001E-01  2.28889E+00  1.04675E-01  1.00000E+00  1.13314E-02  1.02595E-03  7.28630E-03  1.56222E-03  5.43938E-04  7.77170E-03 -7.26657E-04  3.14366E-04  1.38794E-03  8.65185E-03   -19130.123274167006
        -8845  3.32343E+00  3.26265E+00 -6.20607E-01 -2.13593E-01  7.87525E-01  1.20857E+00  3.14221E-01  1.68483E-01  6.87088E-01  2.28854E+00  1.07169E-01  1.00000E+00  9.23064E-03  2.68167E-04  7.01308E-03  1.96729E-03  5.31139E-04  7.39329E-03 -1.14775E-04  9.31180E-04  1.99943E-03  1.03455E-02   -19159.011660555800
        -8844  3.22998E+00  3.28643E+00 -5.94069E-01 -2.17344E-01  7.12140E-01  1.18523E+00  3.37188E-01  1.79291E-01  6.79805E-01  2.28125E+00  1.00318E-01  1.00000E+00  1.11321E-02  3.65043E-04  6.95121E-03  2.05794E-03 -4.79483E-04  6.73390E-03 -7.84039E-05  8.40762E-04  2.02710E-03  1.16487E-02   -19203.546584987620
        -8843  3.30846E+00  3.23218E+00 -6.14020E-01 -1.97975E-01  7.55992E-01  1.19063E+00  3.26961E-01  1.79818E-01  6.90930E-01  2.29263E+00  1.03607E-01  1.00000E+00  9.43385E-03  1.14641E-04  7.02854E-03  1.77662E-03  3.36186E-04  7.49073E-03 -4.73935E-04  1.21141E-04  2.17877E-03  9.59267E-03   -19221.325758289800
        -8842  3.34315E+00  3.27169E+00 -6.25130E-01 -2.13401E-01  7.16858E-01  1.18034E+00  3.42627E-01  1.83922E-01  6.86308E-01  2.29682E+00  1.02949E-01  1.00000E+00  1.02992E-02 -5.35222E-04  6.53975E-03  1.80770E-03 -4.01324E-04  8.02941E-03 -3.19104E-04 -6.11953E-04  2.71908E-03  9.01054E-03   -19193.452756692870
        -8841  3.26937E+00  3.27372E+00 -6.04980E-01 -2.15034E-01  7.41860E-01  1.18266E+00  3.36287E-01  1.81902E-01  6.83887E-01  2.29799E+00  9.82284E-02  1.00000E+00  1.23791E-02 -2.62045E-05  7.84266E-03  1.40098E-03  1.05500E-04  9.06937E-03 -1.88890E-03  3.83288E-04  3.66027E-03  1.23685E-02   -19065.627787524823
        -8840  3.29108E+00  3.25499E+00 -6.08732E-01 -2.09754E-01  6.98625E-01  1.12481E+00  3.47733E-01  1.96756E-01  6.86197E-01  2.28470E+00  1.02238E-01  1.00000E+00  1.03351E-02 -7.43636E-04  7.50069E-03  5.74066E-04  7.45461E-04  8.62529E-03 -2.41026E-04 -3.30309E-04  1.99071E-03  1.13705E-02   -19134.328929069750
        -8839  3.29521E+00  3.24965E+00 -6.07740E-01 -2.10407E-01  6.67302E-01  1.12332E+00  3.53940E-01  1.94650E-01  6.88345E-01  2.28743E+00  1.01984E-01  1.00000E+00  1.08011E-02 -1.30012E-03  7.48280E-03  1.51399E-03  3.58291E-05  7.93659E-03 -4.65281E-04  1.60260E-04  1.37314E-03  9.23968E-03   -19217.805425634622
        -8838  3.25646E+00  3.24324E+00 -5.99424E-01 -2.03967E-01  7.21340E-01  1.09439E+00  3.38702E-01  2.03489E-01  6.80704E-01  2.29565E+00  1.01226E-01  1.00000E+00  1.04886E-02 -1.96585E-03  7.41857E-03  1.78035E-03 -3.66085E-04  9.03384E-03 -7.19566E-04  1.54669E-03  1.73253E-03  9.90837E-03   -19080.999930256494
        -8837  3.27210E+00  3.24022E+00 -6.06950E-01 -2.04095E-01  7.30178E-01  1.12730E+00  3.40006E-01  1.95602E-01  6.87842E-01  2.30147E+00  1.03261E-01  1.00000E+00  1.11110E-02 -5.01751E-04  6.36746E-03  1.96443E-03 -4.96103E-04  8.41903E-03 -1.42845E-03  1.30863E-03  9.05821E-04  1.14407E-02   -19142.286102906219
        -8836  3.27958E+00  3.26569E+00 -6.06367E-01 -2.14000E-01  6.94709E-01  1.14499E+00  3.47323E-01  1.93511E-01  6.97051E-01  2.29520E+00  1.03530E-01  1.00000E+00  9.53210E-03 -1.60313E-04  6.37691E-03  2.10221E-03  5.90757E-04  7.98199E-03  3.78650E-04  9.24537E-04  8.23949E-04  9.07119E-03   -19290.759768144744
        -8835  3.30795E+00  3.23021E+00 -6.13406E-01 -2.01199E-01  7.36785E-01  1.15331E+00  3.32367E-01  1.89683E-01  6.94333E-01  2.30591E+00  1.01321E-01  1.00000E+00  1.11643E-02  2.16292E-04  7.10109E-03  2.58956E-03  7.37656E-04  7.70895E-03  7.75599E-04  9.33657E-05  7.13299E-04  9.00700E-03   -19293.834880946313
        -8834  3.35504E+00  3.24567E+00 -6.26504E-01 -2.02980E-01  7.54497E-01  1.13844E+00  3.25065E-01  1.90449E-01  7.01575E-01  2.31011E+00  1.01258E-01  1.00000E+00  1.11918E-02  4.01393E-04  6.04041E-03  2.71273E-03  3.14888E-04  6.61130E-03 -2.94835E-04  1.00213E-04  1.37389E-04  8.72091E-03   -19257.732966210799
        -8833  3.31289E+00  3.26174E+00 -6.15597E-01 -2.12123E-01  7.23583E-01  1.14303E+00  3.37708E-01  1.88921E-01  6.95292E-01  2.29964E+00  1.01293E-01  1.00000E+00  1.09898E-02 -3.85034E-04  6.98277E-03  2.32077E-03 -4.01403E-04  6.69883E-03  2.68838E-04  3.87655E-04 -3.74206E-04  7.97526E-03   -19379.925378224765
        -8832  3.27662E+00  3.24052E+00 -6.05184E-01 -2.04883E-01  7.27413E-01  1.10954E+00  3.36896E-01  1.99569E-01  6.88141E-01  2.30489E+00  1.01740E-01  1.00000E+00  1.14321E-02 -4.98183E-04  6.62392E-03  2.59631E-03 -4.49482E-04  6.48167E-03 -6.97436E-04  9.22875E-04 -1.09050E-04  9.03765E-03   -19180.499303894998
        -8831  3.32793E+00  3.23606E+00 -6.19011E-01 -2.01304E-01  7.36746E-01  1.12768E+00  3.35846E-01  1.93008E-01  6.91500E-01  2.29273E+00  1.05474E-01  1.00000E+00  1.09888E-02  7.65908E-04  7.35067E-03  1.34671E-03 -2.53721E-04  6.11443E-03  2.46117E-04  1.98368E-04  1.05930E-04  8.39339E-03   -19201.420123900753
        -8830  3.36202E+00  3.24991E+00 -6.29294E-01 -2.07059E-01  6.70409E-01  1.14294E+00  3.55106E-01  1.90232E-01  6.87376E-01  2.29673E+00  1.04675E-01  1.00000E+00  1.20124E-02  1.10099E-03  7.61661E-03  1.22782E-03 -5.30022E-04  6.10677E-03  4.22093E-04  2.31368E-04 -1.40232E-04  7.98075E-03   -19186.812898276759
        -8829  3.34782E+00  3.29103E+00 -6.25623E-01 -2.22271E-01  6.38974E-01  1.11612E+00  3.60428E-01  1.98099E-01  6.89576E-01  2.30231E+00  1.05109E-01  1.00000E+00  1.01267E-02  1.79419E-04  8.55854E-03  2.13470E-03 -1.09656E-03  6.84469E-03 -1.21160E-04 -7.65085E-04 -1.14545E-03  7.71702E-03   -19267.355326482768
        -8828  3.31491E+00  3.23160E+00 -6.15601E-01 -2.04569E-01  6.67130E-01  1.08246E+00  3.52843E-01  2.09004E-01  6.89687E-01  2.29886E+00  1.03313E-01  1.00000E+00  1.01830E-02  4.35936E-04  9.57948E-03  1.14454E-03 -2.10666E-03  6.55091E-03 -1.99312E-04 -4.00754E-04 -1.16713E-03  7.34124E-03   -19292.662740618009
        -8827  3.32378E+00  3.26255E+00 -6.17560E-01 -2.08901E-01  7.21003E-01  1.09103E+00  3.41930E-01  2.07945E-01  6.88333E-01  2.29090E+00  1.00047E-01  1.00000E+00  1.09677E-02  9.78248E-04  9.93380E-03  5.34531E-04 -1.36293E-03  5.27885E-03 -5.40700E-04 -1.44129E-04 -1.07207E-03  6.68953E-03   -19398.542224740129
        -8826  3.33167E+00  3.19999E+00 -6.17588E-01 -1.93344E-01  6.91414E-01  1.08985E+00  3.49303E-01  2.04768E-01  6.84988E-01  2.29755E+00  1.00036E-01  1.00000E+00  1.12067E-02  7.20489E-04  8.73669E-03  9.32948E-04 -7.59097E-04  5.56438E-03 -1.36614E-03 -6.33013E-04 -1.90825E-03  7.67652E-03   -19483.247829827607
        -8825  3.28086E+00  3.21176E+00 -6.04313E-01 -1.98018E-01  7.22729E-01  1.15131E+00  3.40986E-01  1.86606E-01  6.87474E-01  2.29690E+00  1.00756E-01  1.00000E+00  1.03296E-02  3.69024E-04  8.95322E-03  1.47204E-03 -5.52629E-04  5.55209E-03 -1.03690E-03 -2.74775E-04 -2.23870E-03  8.47232E-03   -19396.329675291003
        -8824  3.25428E+00  3.24304E+00 -5.94434E-01 -2.07258E-01  6.71410E-01  1.13720E+00  3.54649E-01  1.91226E-01  6.84668E-01  2.28023E+00  1.01638E-01  1.00000E+00  1.00073E-02  2.17965E-06  8.25994E-03  1.32727E-03 -1.33822E-03  5.77390E-03 -5.27412E-04 -6.09192E-04 -2.30059E-03  7.06290E-03   -19442.937009246489
        -8823  3.26533E+00  3.26494E+00 -6.01465E-01 -2.10916E-01  7.09398E-01  1.09423E+00  3.40958E-01  2.01343E-01  6.81437E-01  2.29304E+00  1.06188E-01  1.00000E+00  9.42365E-03  4.15158E-04  9.10052E-03  8.54503E-04 -1.76116E-03  6.34139E-03 -9.27306E-04 -6.82277E-04 -2.23432E-03  5.41586E-03   -19437.266201473041
        -8822  3.27804E+00  3.24024E+00 -6.08102E-01 -2.03325E-01  7.23924E-01  1.12687E+00  3.34728E-01  1.93897E-01  6.82841E-01  2.28782E+00  1.06428E-01  1.00000E+00  1.04495E-02  9.89276E-04  8.67584E-03 -1.67787E-04 -2.52828E-03  7.51698E-03 -1.38670E-03 -5.71847E-04 -2.37307E-03  5.51153E-03   -19352.632571523296
        -8821  3.26725E+00  3.25113E+00 -6.02963E-01 -2.08802E-01  6.95634E-01  1.11946E+00  3.42512E-01  1.98358E-01  6.84464E-01  2.29907E+00  1.06428E-01  1.00000E+00  9.42034E-03  1.17200E-03  8.56751E-03 -5.23725E-05 -2.70581E-03  7.52339E-03 -1.41914E-03 -1.64499E-04 -1.98382E-03  5.11473E-03   -19439.198694453193
        -8820  3.26640E+00  3.24216E+00 -6.04745E-01 -2.07346E-01  6.56148E-01  1.08646E+00  3.52546E-01  2.08040E-01  6.84215E-01  2.30101E+00  1.06428E-01  1.00000E+00  1.03799E-02  1.27131E-03  8.16471E-03  2.70972E-04 -2.36200E-03  6.29320E-03 -1.11598E-03 -8.16863E-04 -1.56529E-03  5.63706E-03   -19494.022068540162
        -8819  3.33687E+00  3.28455E+00 -6.22538E-01 -2.18341E-01  6.43457E-01  1.08946E+00  3.57340E-01  2.08560E-01  6.95327E-01  2.28778E+00  1.02166E-01  1.00000E+00  1.02172E-02  2.81763E-04  8.69678E-03  7.62265E-04 -3.72806E-03  7.46070E-03 -6.82264E-04 -8.80960E-04 -1.78145E-03  5.94038E-03   -19551.065188242905
        -8818  3.27803E+00  3.24469E+00 -6.09562E-01 -2.06775E-01  6.39640E-01  1.07101E+00  3.57956E-01  2.12091E-01  6.89539E-01  2.29826E+00  1.02521E-01  1.00000E+00  9.73623E-03  2.08180E-04  8.04822E-03  4.61010E-04 -2.93466E-03  6.74239E-03 -1.10741E-03 -7.56248E-04 -1.54697E-03  5.61434E-03   -19470.735480676092
        -8817  3.27316E+00  3.21717E+00 -6.08636E-01 -1.97306E-01  6.84393E-01  1.08612E+00  3.47521E-01  2.06026E-01  6.91635E-01  2.29685E+00  1.03623E-01  1.00000E+00  9.44495E-03  6.95087E-04  7.89052E-03  3.75756E-04 -2.03822E-03  5.46412E-03 -9.41175E-04 -1.50281E-03 -1.52167E-03  6.05363E-03   -19565.976202479091
        -8816  3.32487E+00  3.22526E+00 -6.19855E-01 -2.00242E-01  7.17141E-01  1.08204E+00  3.35147E-01  2.06141E-01  6.94485E-01  2.29512E+00  9.98536E-02  1.00000E+00  9.84965E-03  4.82385E-04  6.74217E-03  1.47154E-04 -1.75077E-03  5.20985E-03 -1.72342E-03 -3.68986E-04 -1.47998E-03  5.83653E-03   -19605.233694296479
        -8815  3.32581E+00  3.23968E+00 -6.18437E-01 -2.01465E-01  6.94086E-01  1.07159E+00  3.42673E-01  2.10347E-01  6.89290E-01  2.29707E+00  1.00005E-01  1.00000E+00  9.41934E-03  2.97817E-04  6.55950E-03 -3.64651E-04 -1.10176E-03  4.88133E-03 -2.33143E-03  1.73216E-05 -1.39753E-03  6.51335E-03   -19675.685475013015
        -8814  3.28839E+00  3.20731E+00 -6.11774E-01 -1.95284E-01  7.64266E-01  1.07220E+00  3.21445E-01  2.11590E-01  6.91336E-01  2.29434E+00  1.00005E-01  1.00000E+00  9.36032E-03 -1.08881E-04  7.09574E-03 -5.30571E-04 -6.91154E-04  4.69360E-03 -1.72578E-03 -1.30471E-04 -8.69824E-04  6.21942E-03   -19549.390193733743
        -8813  3.30650E+00  3.27293E+00 -6.15690E-01 -2.14845E-01  6.80839E-01  1.11101E+00  3.47456E-01  1.98796E-01  6.95971E-01  2.29311E+00  1.03374E-01  1.00000E+00  9.92540E-03 -1.02071E-03  6.74057E-03 -2.58027E-04 -3.21822E-04  5.21585E-03 -1.39988E-03  4.17984E-04 -1.21026E-03  6.32606E-03   -19489.698785078243
        -8812  3.29042E+00  3.25380E+00 -6.06952E-01 -2.09664E-01  7.12583E-01  1.09447E+00  3.42757E-01  2.03526E-01  6.91072E-01  2.29369E+00  1.05226E-01  1.00000E+00  9.61360E-03 -1.17831E-03  6.23000E-03  3.00207E-04 -4.12301E-04  5.30658E-03 -1.19026E-03  6.29376E-04 -1.78823E-03  7.10140E-03   -19384.431377401135
        -8811  3.29348E+00  3.30433E+00 -6.10427E-01 -2.26954E-01  7.20446E-01  1.14459E+00  3.40164E-01  1.90361E-01  6.92694E-01  2.29571E+00  1.07092E-01  1.00000E+00  9.12928E-03 -8.84146E-04  7.75257E-03  6.10519E-04 -5.20428E-05  5.35993E-03 -1.40129E-03 -2.31554E-04 -2.21334E-03  7.20684E-03   -19418.625653993458
        -8810  3.31334E+00  3.26423E+00 -6.15240E-01 -2.15057E-01  6.97472E-01  1.11141E+00  3.47124E-01  2.00847E-01  6.88427E-01  2.29830E+00  1.07092E-01  1.00000E+00  8.65958E-03 -1.17807E-03  7.26233E-03  7.00491E-04 -4.69335E-04  5.10981E-03 -1.54645E-03  7.39581E-04 -2.24462E-03  7.45769E-03   -19430.515801347290
        -8809  3.29447E+00  3.21503E+00 -6.11704E-01 -2.00016E-01  6.89878E-01  1.18833E+00  3.47387E-01  1.78473E-01  6.90739E-01  2.29330E+00  1.07092E-01  1.00000E+00  8.65866E-03  6.02682E-06  5.92520E-03  4.70264E-05 -6.87054E-04  5.49100E-03 -2.40353E-03  8.00831E-05 -1.86416E-03  7.31305E-03   -19522.155200826328
        -8808  3.27024E+00  3.22768E+00 -6.05630E-01 -2.02253E-01  7.14351E-01  1.16601E+00  3.40325E-01  1.80476E-01  6.84494E-01  2.29660E+00  1.06721E-01  1.00000E+00  1.03086E-02 -5.89776E-04  5.01551E-03  3.89714E-04 -1.02775E-03  5.96334E-03 -2.58116E-03  4.78671E-04 -2.18752E-03  6.93045E-03   -19488.564336484324
        -8807  3.30994E+00  3.26425E+00 -6.13314E-01 -2.11474E-01  7.14299E-01  1.19283E+00  3.36750E-01  1.75409E-01  6.86801E-01  2.29288E+00  1.07247E-01  1.00000E+00  9.65335E-03 -8.96815E-04  5.84613E-03  5.39739E-05 -1.58847E-03  6.50259E-03 -2.21863E-03  6.29877E-04 -2.46610E-03  6.75075E-03   -19450.516058167930
        -8806  3.35653E+00  3.24859E+00 -6.28793E-01 -2.10639E-01  7.15901E-01  1.18326E+00  3.38805E-01  1.77576E-01  6.89589E-01  2.29631E+00  1.07247E-01  1.00000E+00  1.05180E-02 -1.96704E-04  5.80377E-03 -7.92265E-04 -3.73553E-04  6.18825E-03 -2.18786E-03 -1.23495E-04 -1.69037E-03  6.14560E-03   -19501.314611728056
        -8805  3.26676E+00  3.23690E+00 -5.99934E-01 -2.05643E-01  6.80559E-01  1.17369E+00  3.48655E-01  1.80084E-01  6.88968E-01  2.29348E+00  1.07346E-01  1.00000E+00  1.13846E-02 -3.98447E-05  6.46241E-03  2.35583E-04 -2.33351E-04  5.98647E-03 -2.95957E-03 -1.87295E-04 -1.20445E-03  5.96071E-03   -19410.448868774263
        -8804  3.28388E+00  3.28339E+00 -6.08311E-01 -2.20491E-01  7.20907E-01  1.10794E+00  3.35935E-01  1.96851E-01  6.91679E-01  2.29537E+00  1.07346E-01  1.00000E+00  1.06377E-02  2.83142E-04  6.17021E-03  5.42837E-05 -1.56990E-04  6.80724E-03 -3.02462E-03 -3.73244E-04 -1.83493E-03  6.04536E-03   -19426.354267553226
        -8803  3.31615E+00  3.24530E+00 -6.15725E-01 -2.09175E-01  7.24132E-01  1.10455E+00  3.37027E-01  2.01181E-01  6.86382E-01  2.29499E+00  1.05736E-01  1.00000E+00  9.97000E-03 -4.30783E-04  7.63257E-03 -1.02008E-04 -9.66994E-04  6.47811E-03 -2.66699E-03  4.50023E-04 -1.93341E-03  5.82498E-03   -19368.360626281497
        -8802  3.31317E+00  3.27377E+00 -6.15026E-01 -2.13192E-01  7.34073E-01  1.10031E+00  3.37373E-01  2.00205E-01  6.76059E-01  2.29944E+00  1.05542E-01  1.00000E+00  1.13530E-02  2.56491E-04  7.72268E-03  2.14154E-04 -4.57306E-04  7.01283E-03 -2.71897E-03 -3.39981E-04 -2.24176E-03  5.98510E-03   -19499.096097722864
        -8801  3.23745E+00  3.26499E+00 -5.94196E-01 -2.14556E-01  7.81823E-01  1.10419E+00  3.19426E-01  2.00012E-01  6.80214E-01  2.29915E+00  9.94539E-02  1.00000E+00  1.02253E-02  2.03307E-04  8.17276E-03 -1.54692E-04 -1.69646E-04  5.70695E-03 -2.53339E-03  1.50433E-04 -1.34647E-03  5.78142E-03   -19535.128678971210
        -8800  3.28885E+00  3.25164E+00 -6.07243E-01 -2.07912E-01  7.59291E-01  1.05870E+00  3.27867E-01  2.13207E-01  6.89404E-01  2.29164E+00  1.01186E-01  1.00000E+00  1.04314E-02  7.15802E-04  7.70258E-03 -1.23599E-03 -4.52712E-04  5.90767E-03 -2.03767E-03  5.30563E-04 -1.29149E-03  7.11414E-03   -19361.378974596239
            0  3.31486E+00  3.17391E+00 -6.17161E-01 -1.85776E-01  7.10583E-01  1.06193E+00  3.44570E-01  2.13364E-01  6.95739E-01  2.29670E+00  1.02412E-01  1.00000E+00  9.46049E-03  6.57584E-05  8.62181E-03 -3.96408E-04 -8.44309E-04  6.79765E-03 -2.46699E-03  3.80670E-04 -7.96401E-04  6.89972E-03   -19283.031094714926
            1  3.29569E+00  3.22222E+00 -6.09934E-01 -1.97435E-01  7.47008E-01  1.06334E+00  3.31559E-01  2.16154E-01  6.93821E-01  2.29823E+00  1.02735E-01  1.00000E+00  9.96240E-03 -4.73464E-04  9.57559E-03 -1.91302E-04 -1.00558E-03  6.62025E-03 -2.10226E-03 -3.80120E-05 -4.77101E-04  6.78718E-03   -19301.581140699840
            2  3.28167E+00  3.23255E+00 -6.05541E-01 -2.00843E-01  7.40874E-01  1.08623E+00  3.32800E-01  2.07000E-01  6.95722E-01  2.29857E+00  1.05154E-01  1.00000E+00  1.00198E-02  1.94318E-04  7.75128E-03 -2.45286E-04 -6.91033E-04  6.38198E-03 -2.11227E-03 -2.40761E-05 -5.59322E-04  8.32949E-03   -19254.091870246179
            3  3.26582E+00  3.20815E+00 -6.04355E-01 -1.95709E-01  7.61334E-01  1.08427E+00  3.30305E-01  2.02168E-01  6.95244E-01  2.30275E+00  1.03834E-01  1.00000E+00  1.02685E-02  1.04923E-03  7.55737E-03 -8.39140E-04 -3.02703E-04  5.65982E-03 -1.00974E-03  2.72555E-05 -4.42840E-04  6.91739E-03   -19341.712905993667
            4  3.29962E+00  3.24512E+00 -6.13216E-01 -2.02967E-01  7.46732E-01  1.12665E+00  3.33545E-01  1.90007E-01  7.00973E-01  2.29739E+00  1.01334E-01  1.00000E+00  9.26299E-03  6.95229E-04  8.11681E-03 -1.87061E-04 -1.96416E-04  6.66271E-03 -5.76557E-04  1.54749E-03 -6.70714E-04  7.02131E-03   -19412.584547864688
            5  3.32533E+00  3.25252E+00 -6.18719E-01 -2.07826E-01  7.11390E-01  1.12322E+00  3.42379E-01  1.94875E-01  6.96552E-01  2.30227E+00  1.03832E-01  1.00000E+00  1.03361E-02 -1.10842E-04  8.78372E-03  9.20647E-04  4.45355E-05  7.37076E-03 -3.69970E-04  8.66127E-04 -1.33959E-03  7.35716E-03   -19273.785364575844
            6  3.33569E+00  3.27937E+00 -6.17424E-01 -2.14462E-01  7.77770E-01  1.15195E+00  3.27001E-01  1.87755E-01  7.01901E-01  2.29901E+00  1.03845E-01  1.00000E+00  9.79086E-03  7.93443E-04  8.38696E-03  2.44098E-04  1.25884E-04  6.25653E-03 -1.17762E-03 -5.66799E-05 -1.00078E-03  7.26922E-03   -19222.221280308571
            7  3.32424E+00  3.23971E+00 -6.15458E-01 -2.04020E-01  7.76400E-01  1.17108E+00  3.26616E-01  1.81707E-01  7.01425E-01  2.30297E+00  1.03479E-01  1.00000E+00  1.03672E-02  1.82413E-03  9.24430E-03  7.88823E-04  9.20133E-04  6.30668E-03 -7.75194E-04  4.05068E-04 -1.31737E-03  7.59763E-03   -19259.092722368630
            8  3.31617E+00  3.25686E+00 -6.11137E-01 -2.06416E-01  6.82668E-01  1.12090E+00  3.54026E-01  1.97319E-01  6.96847E-01  2.30249E+00  1.04463E-01  1.00000E+00  9.50590E-03  9.19125E-04  9.52345E-03  7.99403E-04  3.53840E-04  6.25499E-03 -1.65335E-03 -5.15103E-04 -6.48243E-04  8.22059E-03   -19192.784971308382
            9  3.32312E+00  3.28304E+00 -6.17281E-01 -2.16766E-01  7.01361E-01  1.13042E+00  3.45500E-01  1.97152E-01  6.96107E-01  2.30979E+00  1.01802E-01  1.00000E+00  8.53386E-03 -9.74696E-05  8.39312E-03  1.16565E-03 -2.03781E-04  6.52100E-03 -1.79836E-03 -2.03504E-04 -1.20126E-04  7.16872E-03   -19302.714299513082
           10  3.29027E+00  3.28186E+00 -6.06038E-01 -2.17094E-01  7.27188E-01  1.14060E+00  3.33190E-01  1.91822E-01  6.97269E-01  2.30535E+00  1.02226E-01  1.00000E+00  9.67117E-03 -1.06923E-04  8.20639E-03  2.08399E-03 -3.58881E-04  7.58291E-03 -1.74184E-03 -2.08042E-04 -1.75408E-04  7.13156E-03   -19234.349635789000
           11  3.29422E+00  3.24448E+00 -6.09808E-01 -2.04694E-01  6.61914E-01  1.16678E+00  3.52714E-01  1.84871E-01  7.02327E-01  2.30084E+00  1.02255E-01  1.00000E+00  1.02127E-02 -1.73956E-04  6.87894E-03  1.43891E-03 -5.45857E-04  7.63515E-03 -1.31635E-03 -8.02282E-04 -4.93710E-04  7.47501E-03   -19271.028397349430
           12  3.27762E+00  3.27344E+00 -6.03741E-01 -2.15092E-01  6.59283E-01  1.19034E+00  3.55233E-01  1.78138E-01  6.98400E-01  2.29261E+00  1.04831E-01  1.00000E+00  1.04925E-02  7.44528E-05  7.33877E-03  1.67443E-03 -5.51256E-04  7.94726E-03 -2.13905E-03 -7.58703E-04 -1.11524E-03  7.55212E-03   -19264.174665381001
           13  3.30929E+00  3.24931E+00 -6.14390E-01 -2.07713E-01  6.92343E-01  1.17751E+00  3.45078E-01  1.77689E-01  6.96111E-01  2.29511E+00  1.04831E-01  1.00000E+00  9.45888E-03  5.19656E-04  6.80039E-03  1.67043E-03 -4.81309E-04  7.49651E-03 -6.91098E-04 -8.39793E-04 -4.86572E-04  6.77640E-03   -19263.248205408570
           14  3.25780E+00  3.24485E+00 -6.01586E-01 -2.08988E-01  6.72107E-01  1.12328E+00  3.48764E-01  1.96612E-01  6.88322E-01  2.29930E+00  1.05431E-01  1.00000E+00  9.52604E-03  2.44966E-04  6.04835E-03  2.08351E-03 -6.55718E-04  8.06717E-03 -9.93994E-04 -6.18146E-04  9.19098E-05  6.87074E-03   -19335.996518892971
