TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9986  3.29822E+00  3.26371E+00 -6.12392E-01 -2.09166E-01  7.70567E-01  1.11830E+00  3.21072E-01  1.99326E-01  6.87684E-01  2.29547E+00  1.02725E-01  1.00000E+00  9.90738E-03  1.30328E-03  6.02985E-03 -5.84131E-04 -1.69445E-03  4.94852E-03 -1.65553E-03 -7.79917E-04 -2.22581E-03  5.22411E-03   -19763.121347753124
        -9985  3.28645E+00  3.24179E+00 -6.10185E-01 -2.07185E-01  7.61982E-01  1.12084E+00  3.26279E-01  1.96422E-01  6.87195E-01  2.29738E+00  1.02725E-01  1.00000E+00  1.00860E-02  3.53283E-04  6.28848E-03  4.49708E-04 -1.28307E-03  5.05190E-03 -2.49820E-03 -1.11749E-03 -2.44649E-03  6.58557E-03   -19773.658181830917
        -9984  3.32110E+00  3.29838E+00 -6.19741E-01 -2.22716E-01  7.40842E-01  1.13305E+00  3.31610E-01  1.91058E-01  6.92310E-01  2.29865E+00  1.02725E-01  1.00000E+00  9.81928E-03 -4.50876E-04  4.93287E-03 -2.28686E-04 -8.70005E-04  4.94847E-03 -1.60126E-03 -6.57146E-04 -2.32415E-03  6.05598E-03   -19683.613710412079
        -9983  3.26774E+00  3.25438E+00 -6.05551E-01 -2.06376E-01  7.27700E-01  1.17442E+00  3.33934E-01  1.77395E-01  6.90960E-01  2.29546E+00  1.02725E-01  1.00000E+00  9.50889E-03 -2.04786E-04  4.66287E-03 -7.56056E-05 -1.33772E-03  5.14526E-03 -1.24084E-03 -1.79604E-04 -2.70259E-03  6.46681E-03   -19774.966153046938
        -9982  3.23143E+00  3.28477E+00 -5.95754E-01 -2.18656E-01  7.00562E-01  1.18867E+00  3.39299E-01  1.75779E-01  6.95448E-01  2.29817E+00  1.02725E-01  1.00000E+00  9.80627E-03 -6.63500E-04  5.37093E-03 -1.04654E-04 -1.23405E-03  5.35668E-03 -1.43736E-03 -7.15016E-04 -2.66661E-03  6.74003E-03   -19664.043477576484
        -9981  3.26095E+00  3.24545E+00 -6.00913E-01 -2.07097E-01  7.04615E-01  1.18213E+00  3.38356E-01  1.79494E-01  6.86633E-01  2.30090E+00  1.00146E-01  1.00000E+00  1.19204E-02 -1.58339E-03  5.84023E-03  2.76834E-04 -1.67335E-03  4.77204E-03 -2.13207E-03 -3.05609E-04 -2.19989E-03  5.43294E-03   -19902.239421832764
        -9980  3.28879E+00  3.23145E+00 -6.12525E-01 -2.03135E-01  6.85743E-01  1.18161E+00  3.42719E-01  1.77741E-01  6.93247E-01  2.30131E+00  1.00108E-01  1.00000E+00  9.75256E-03 -7.43962E-04  6.12924E-03 -1.65444E-04 -1.99129E-03  6.00085E-03 -2.31727E-03 -4.09543E-04 -3.23321E-03  6.53859E-03   -19781.423280384177
        -9979  3.26070E+00  3.23830E+00 -5.96821E-01 -2.05031E-01  7.28048E-01  1.20837E+00  3.31961E-01  1.71708E-01  6.82987E-01  2.30395E+00  1.00108E-01  1.00000E+00  1.02439E-02 -1.25215E-03  6.00110E-03 -1.12512E-04 -2.27813E-03  6.74853E-03 -2.51007E-03  4.95737E-05 -3.63380E-03  6.47676E-03   -19741.032635393436
        -9978  3.26244E+00  3.23836E+00 -6.01580E-01 -2.04995E-01  7.27723E-01  1.20535E+00  3.35645E-01  1.74654E-01  6.82924E-01  2.30133E+00  1.01385E-01  1.00000E+00  9.18764E-03 -8.48091E-05  7.29450E-03 -9.83966E-04 -2.69796E-03  5.47154E-03 -1.19895E-03 -7.78259E-04 -2.58970E-03  6.25682E-03   -19730.297558667266
        -9977  3.31862E+00  3.23786E+00 -6.15965E-01 -2.05391E-01  7.46197E-01  1.20795E+00  3.30865E-01  1.74357E-01  6.87854E-01  2.29919E+00  1.04742E-01  1.00000E+00  1.18374E-02 -3.86524E-06  6.96998E-03 -1.14346E-04 -2.65292E-03  5.36320E-03 -2.29425E-03 -5.61742E-04 -2.58333E-03  5.84062E-03   -19700.159085465708
        -9976  3.31554E+00  3.24231E+00 -6.18194E-01 -2.06165E-01  7.36326E-01  1.16152E+00  3.31849E-01  1.85618E-01  6.89491E-01  2.30198E+00  1.05864E-01  1.00000E+00  1.04955E-02 -3.31094E-04  5.76012E-03  3.23593E-04 -2.03309E-03  4.82114E-03 -2.25811E-03 -4.66064E-04 -2.36218E-03  5.76430E-03   -19659.453707270299
        -9975  3.30186E+00  3.26369E+00 -6.12596E-01 -2.08575E-01  7.33374E-01  1.15757E+00  3.33747E-01  1.87734E-01  6.84077E-01  2.29701E+00  1.04772E-01  1.00000E+00  1.01270E-02  2.43262E-04  6.11204E-03 -5.52692E-04 -2.37568E-03  5.11426E-03 -1.76290E-03 -3.16130E-04 -2.33210E-03  6.04953E-03   -19680.932939114555
        -9974  3.30261E+00  3.26100E+00 -6.09084E-01 -2.10211E-01  7.36534E-01  1.10697E+00  3.32852E-01  2.01600E-01  6.88168E-01  2.30397E+00  1.04034E-01  1.00000E+00  9.69995E-03  3.97394E-04  5.75196E-03 -2.19472E-04 -1.70944E-03  4.47575E-03 -1.02943E-03 -1.15902E-03 -1.86671E-03  5.94466E-03   -19757.335154390410
        -9973  3.32882E+00  3.18185E+00 -6.24393E-01 -1.90704E-01  7.51599E-01  1.07811E+00  3.32468E-01  2.11686E-01  6.98265E-01  2.29631E+00  1.05223E-01  1.00000E+00  9.94243E-03  1.07001E-04  5.62606E-03  5.66903E-04 -1.14966E-03  4.23979E-03 -1.15337E-03 -8.45217E-04 -2.05621E-03  6.20112E-03   -19669.078195732014
        -9972  3.26708E+00  3.24568E+00 -6.01562E-01 -2.07640E-01  7.44397E-01  1.12099E+00  3.32733E-01  1.96394E-01  7.04533E-01  2.29939E+00  1.05223E-01  1.00000E+00  1.05559E-02  3.21195E-04  6.41819E-03  9.70828E-04 -1.03569E-03  4.31016E-03 -1.28870E-03 -9.66071E-04 -2.45089E-03  6.14402E-03   -19605.394643551670
        -9971  3.32725E+00  3.24672E+00 -6.17666E-01 -2.03918E-01  7.21651E-01  1.11758E+00  3.37775E-01  1.99083E-01  6.97870E-01  2.30586E+00  1.06853E-01  1.00000E+00  1.03623E-02  3.53395E-04  5.90822E-03  1.03795E-03 -1.33068E-03  5.20752E-03 -6.67080E-04 -8.00779E-04 -2.92213E-03  6.83965E-03   -19619.341593461446
        -9970  3.34207E+00  3.24793E+00 -6.22093E-01 -2.10008E-01  7.63738E-01  1.11666E+00  3.28288E-01  2.00619E-01  6.92735E-01  2.30102E+00  1.02486E-01  1.00000E+00  9.92201E-03 -4.34046E-04  5.86071E-03  1.85440E-03 -1.18356E-03  5.64463E-03 -2.11187E-03 -9.53979E-04 -3.10502E-03  6.72354E-03   -19675.234149409287
        -9969  3.31947E+00  3.26092E+00 -6.19792E-01 -2.10682E-01  7.56993E-01  1.09536E+00  3.32748E-01  2.02778E-01  6.93088E-01  2.29963E+00  1.03898E-01  1.00000E+00  9.68191E-03 -5.17171E-04  6.10383E-03  1.10001E-03 -1.18520E-03  5.45344E-03 -3.66229E-04 -1.14936E-03 -2.34063E-03  5.77119E-03   -19601.886947542513
        -9968  3.32094E+00  3.20006E+00 -6.20424E-01 -1.91333E-01  7.49930E-01  1.09044E+00  3.30133E-01  2.04579E-01  6.97348E-01  2.29752E+00  1.04751E-01  1.00000E+00  9.95934E-03 -2.87679E-04  7.23080E-03  1.29853E-03 -1.71130E-03  5.36464E-03 -1.50938E-03 -1.35222E-03 -2.20875E-03  5.43763E-03   -19607.560151995236
        -9967  3.30837E+00  3.30027E+00 -6.14223E-01 -2.18967E-01  7.64779E-01  1.14204E+00  3.26134E-01  1.88344E-01  6.97018E-01  2.30496E+00  1.07274E-01  1.00000E+00  9.76534E-03 -7.71289E-04  6.91516E-03  1.23376E-03 -1.75430E-03  5.05690E-03 -9.36777E-04 -1.12742E-03 -1.90791E-03  5.24481E-03   -19580.913528251425
        -9966  3.32599E+00  3.22508E+00 -6.18482E-01 -1.98067E-01  7.93678E-01  1.12577E+00  3.19191E-01  1.92497E-01  7.09087E-01  2.29828E+00  1.08032E-01  1.00000E+00  9.11390E-03 -5.89860E-04  7.10691E-03  9.20309E-04 -2.40743E-03  5.14417E-03 -1.00660E-03 -4.18274E-04 -2.39345E-03  5.77835E-03   -19587.482928101665
        -9965  3.30039E+00  3.23041E+00 -6.12865E-01 -2.04878E-01  7.59955E-01  1.08916E+00  3.34026E-01  2.05883E-01  6.93240E-01  2.29962E+00  1.08032E-01  1.00000E+00  9.96734E-03 -3.74270E-05  7.80295E-03  3.51880E-04 -2.73551E-03  5.21876E-03 -9.53155E-05  1.82415E-04 -2.75382E-03  5.83190E-03   -19613.760408376955
        -9964  3.33417E+00  3.24617E+00 -6.20253E-01 -2.04587E-01  7.80901E-01  1.12568E+00  3.26059E-01  1.95361E-01  6.92731E-01  2.28935E+00  1.08032E-01  1.00000E+00  1.12719E-02  1.11407E-04  6.41585E-03  1.08989E-03 -1.75713E-03  4.89374E-03 -1.37624E-03 -3.37763E-04 -2.53474E-03  5.80598E-03   -19597.115318997810
        -9963  3.36176E+00  3.22695E+00 -6.27403E-01 -2.03506E-01  7.52189E-01  1.12561E+00  3.35746E-01  1.94411E-01  6.95415E-01  2.29355E+00  1.06743E-01  1.00000E+00  1.11268E-02  1.02755E-05  6.30259E-03  6.90505E-04 -1.58037E-03  4.72766E-03 -1.14140E-03 -2.05311E-04 -2.18589E-03  5.97346E-03   -19524.851481641857
        -9962  3.31295E+00  3.24924E+00 -6.20295E-01 -2.10544E-01  7.19613E-01  1.15725E+00  3.44008E-01  1.84203E-01  6.87233E-01  2.30648E+00  1.07491E-01  1.00000E+00  1.08716E-02  2.69244E-04  6.88923E-03  6.28588E-04 -1.64513E-03  5.05912E-03 -1.91356E-03 -1.54874E-04 -2.45397E-03  6.23732E-03   -19614.853945402756
        -9961  3.24361E+00  3.21519E+00 -5.96808E-01 -1.97960E-01  6.85515E-01  1.15962E+00  3.50709E-01  1.81546E-01  6.90254E-01  2.29883E+00  1.03943E-01  1.00000E+00  1.01360E-02  9.47066E-04  8.96057E-03  4.88218E-04 -2.40170E-03  5.88416E-03 -1.91668E-03  3.56613E-05 -2.74167E-03  5.69993E-03   -19495.237584406539
        -9960  3.25271E+00  3.26894E+00 -5.97437E-01 -2.14213E-01  6.74877E-01  1.10419E+00  3.58870E-01  1.99007E-01  6.85192E-01  2.30361E+00  1.03335E-01  1.00000E+00  1.08810E-02  1.89439E-04  8.13219E-03  2.77338E-04 -1.89456E-03  6.19598E-03 -2.16956E-03 -2.69038E-04 -2.87511E-03  6.36374E-03   -19581.251459661475
        -9959  3.26820E+00  3.24524E+00 -5.97122E-01 -2.05706E-01  7.15307E-01  1.15489E+00  3.43608E-01  1.85943E-01  6.93156E-01  2.30099E+00  1.01006E-01  1.00000E+00  9.68307E-03  4.73836E-04  8.36411E-03  8.00974E-05 -2.04216E-03  6.48545E-03 -1.22953E-03  6.40557E-04 -3.16605E-03  6.10656E-03   -19644.675700566171
        -9958  3.31791E+00  3.29332E+00 -6.15335E-01 -2.19940E-01  7.04273E-01  1.17249E+00  3.48304E-01  1.78652E-01  6.93587E-01  2.30790E+00  1.01006E-01  1.00000E+00  8.81849E-03  1.72660E-04  8.73770E-03  3.16328E-04 -1.93631E-03  5.77688E-03 -1.64568E-03  3.89332E-05 -2.33670E-03  5.96577E-03   -19555.628799767383
        -9957  3.30949E+00  3.28278E+00 -6.14692E-01 -2.16159E-01  7.27362E-01  1.16976E+00  3.40075E-01  1.81465E-01  7.00159E-01  2.30592E+00  1.00845E-01  1.00000E+00  1.07991E-02 -1.10684E-03  8.02260E-03  7.68643E-04 -1.46203E-03  6.18500E-03 -2.17479E-03  7.57161E-05 -2.95781E-03  6.47807E-03   -19588.059608750289
        -9956  3.25506E+00  3.32594E+00 -5.98572E-01 -2.27231E-01  7.33431E-01  1.20891E+00  3.38395E-01  1.74023E-01  7.01453E-01  2.30985E+00  1.01352E-01  1.00000E+00  1.10154E-02 -7.35864E-04  8.90172E-03  1.08437E-03 -1.76893E-03  6.93565E-03 -1.99381E-03 -9.65107E-05 -3.19002E-03  6.66740E-03   -19405.044711047107
