TABLE NO.  1
 ID                      TIME                    Y1                      Y2                      A1                      A2                      A3                      EVID                    CMT
  0.0000000000000000E+00  0.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  1.0000000000000000E+00  2.8300000000000001E+00  0.0000000000000000E+00  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  1.0000000000000000E+00  3.4332378911111117E+00  1.1812541562076029E-03  5.1498388834112889E+00  3.4320566369549041E+00  1.1812541562076029E-03  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  2.0000000000000000E+00  4.5525837950463082E+00  3.0927559040559820E-03  6.4704320602961047E+00  4.5494910391422518E+00  3.0927559040559820E-03  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  3.0000000000000000E+00  5.6992940253084114E+00  6.2093330182192708E-03  5.7384417520152340E+00  5.6930846922901921E+00  6.2093330182192708E-03  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  4.0000000000000000E+00  6.6510492658611904E+00  1.1313810539616732E-02  4.5725718203332786E+00  6.6397354553215733E+00  1.1313810539616732E-02  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  5.0000000000000000E+00  7.4097497910215617E+00  1.9696816206006901E-02  3.6974486796773962E+00  7.3900529748155552E+00  1.9696816206006901E-02  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  6.0000000000000000E+00  8.0384466275328279E+00  3.3486204871938582E-02  3.1529364089759095E+00  8.0049604226608899E+00  3.3486204871938582E-02  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  7.0000000000000000E+00  8.5868266580139743E+00  5.6190181688683706E-02  2.8153705560856581E+00  8.5306364763252898E+00  5.6190181688683706E-02  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  8.0000000000000000E+00  9.0834615126257745E+00  9.3592776760058727E-02  2.5922221398867076E+00  8.9898687358657163E+00  9.3592776760058727E-02  0.0000000000000000E+00  4.0000000000000000E+00
  0.0000000000000000E+00  9.0000000000000000E+00  9.5438997805157193E+00  1.5523020732312537E-01  2.4347374778580377E+00  9.3886695731925940E+00  1.5523020732312537E-01  0.0000000000000000E+00  4.0000000000000000E+00
