TABLE NO.     2: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   OMEGA(5,1)   OMEGA(5,2)   OMEGA(5,3)   OMEGA(5,4)   OMEGA(5,5)   OMEGA(6,1)   OMEGA(6,2)   OMEGA(6,3)   OMEGA(6,4)   OMEGA(6,5)   OMEGA(6,6)   OMEGA(7,1)   OMEGA(7,2)   OMEGA(7,3)   OMEGA(7,4)   OMEGA(7,5)   OMEGA(7,6)   OMEGA(7,7)   OMEGA(8,1)   OMEGA(8,2)   OMEGA(8,3)   OMEGA(8,4)   OMEGA(8,5)   OMEGA(8,6)   OMEGA(8,7)   OMEGA(8,8)   MCMCOBJ
         1696  3.92886E+00 -2.22243E+00  6.40072E-01 -1.26961E-01  2.16616E+00  2.93661E-01  3.64014E+00 -7.74631E-01  9.15466E-03  0.00000E+00  2.31311E-02  2.36143E-01 -5.52289E-03  1.84888E-01 -2.27124E-03 -6.99575E-03  1.23626E-01 -2.38174E-02 -2.30371E-03  3.00643E-02  2.01433E-01  5.91323E-02  2.54627E-02  3.58985E-02 -3.30576E-02  2.12683E-01 -5.03643E-02  1.64386E-02  1.58992E-02  2.83167E-02 -4.62804E-02  1.35253E-01  1.84188E-02  2.28250E-02  1.08928E-02 -5.39219E-02  5.42106E-02 -2.06587E-02  1.73600E-01  6.57717E-02  9.35704E-02 -2.87332E-03  6.50731E-04  6.77907E-03 -5.46280E-02  7.25876E-02  2.20579E-01   -6499.83184409920
         1697  3.82533E+00 -2.16990E+00  4.91556E-01 -2.45435E-01  2.13729E+00  1.89180E-01  3.64202E+00 -7.52580E-01  8.01182E-03  0.00000E+00  2.31554E-02  2.53057E-01 -1.34000E-02  1.14155E-01  5.52927E-02 -1.68165E-02  1.23629E-01  1.32859E-02 -3.68871E-03  3.27488E-02  3.59120E-01  1.81198E-02  2.61651E-02  2.96412E-03 -6.82063E-02  2.03600E-01 -3.15072E-02 -9.13553E-03  3.00132E-03  3.78908E-02 -5.62626E-02  1.83240E-01  5.79219E-02 -4.42646E-03  4.22769E-02 -9.47660E-02  2.18049E-02 -4.79989E-03  2.44745E-01  1.04104E-01  5.33178E-02  2.89996E-02  1.38274E-02 -3.50461E-03 -8.49466E-02  6.43441E-02  2.29924E-01   -6537.18733040424
         1698  4.02120E+00 -2.17283E+00  5.44951E-01 -2.36284E-01  2.22559E+00  1.40249E-01  3.68376E+00 -7.98517E-01  9.51446E-03  0.00000E+00  2.16858E-02  2.56384E-01 -4.47003E-04  1.78518E-01  7.46824E-02  8.45967E-03  1.57836E-01 -7.99355E-02  1.26305E-02 -7.51463E-02  3.27640E-01 -3.29561E-02  2.05390E-02 -1.27783E-02 -4.15461E-03  3.14782E-01 -3.02746E-02  3.20881E-02 -1.51918E-02  1.31378E-02 -1.07143E-01  2.32413E-01 -1.86725E-02 -3.92191E-02 -2.95504E-03 -4.88955E-02  5.51007E-02 -6.54599E-03  2.08008E-01  1.13313E-01  4.34918E-02  7.12375E-02 -6.81532E-02 -2.06092E-02 -5.43159E-02  4.74627E-02  2.28342E-01   -6520.05783913948
         1699  3.94225E+00 -2.21091E+00  5.07560E-01 -2.16813E-01  2.15080E+00  7.45843E-02  3.68213E+00 -6.61326E-01  9.14725E-03  0.00000E+00  2.47792E-02  2.72079E-01 -3.08099E-02  1.90751E-01  6.82632E-02  1.33090E-02  1.47713E-01 -1.86989E-02  5.20499E-03 -5.19698E-03  2.58343E-01 -2.70576E-02  4.36208E-02 -4.41296E-02 -5.86974E-02  2.23908E-01 -5.67835E-02  1.56180E-02  5.84255E-02  2.20630E-02 -9.63727E-02  2.42697E-01 -1.48266E-02 -1.01062E-02 -2.42357E-02 -6.51969E-02  5.21312E-02 -1.58006E-02  2.49998E-01  1.51782E-01  5.91264E-02  6.29647E-02 -1.43169E-02 -1.88060E-02 -7.32188E-02  6.88667E-03  2.26098E-01   -6494.43369764739
         1700  3.93591E+00 -2.23529E+00  4.89461E-01 -1.32223E-01  2.20216E+00  9.83359E-02  3.64452E+00 -7.04692E-01  9.13500E-03  0.00000E+00  2.10591E-02  3.96184E-01 -1.02475E-01  2.02488E-01  8.09391E-02 -1.68377E-03  1.44892E-01  2.05307E-02  4.48736E-02  1.43451E-02  2.00810E-01  1.37783E-02 -9.28960E-03  2.96657E-02 -7.26275E-02  2.63641E-01 -8.98246E-02  2.36764E-02 -3.65402E-03  1.27172E-02 -9.70167E-02  2.39939E-01 -2.02085E-02 -4.57537E-02  8.03651E-03 -3.11327E-02 -1.95958E-02  1.45715E-02  2.23812E-01  1.39387E-01  3.14446E-02  5.42434E-02  4.50558E-02 -3.63284E-02 -9.13412E-02  5.67888E-02  2.24848E-01   -6481.33606991581
         1701  3.80146E+00 -2.18140E+00  5.73310E-01 -2.58405E-01  2.15662E+00  2.73500E-01  3.80417E+00 -7.00526E-01  9.54569E-03  0.00000E+00  2.35483E-02  3.62155E-01 -7.46944E-02  2.59327E-01  4.31063E-02  3.01409E-02  1.47726E-01  7.58584E-02  8.20298E-02  2.74582E-02  2.55369E-01 -2.22265E-02 -2.47817E-02 -9.18686E-03 -4.34603E-02  1.94482E-01  5.07003E-02 -4.28199E-02  4.48677E-04 -5.55319E-02 -1.18829E-01  2.69177E-01 -1.27346E-02 -7.58772E-02 -2.95045E-02 -6.70506E-02  9.10193E-03 -3.85999E-03  1.74586E-01  9.73346E-02  1.51361E-01  6.34141E-02  1.19295E-01 -3.50560E-02 -9.02133E-02 -8.83287E-03  2.84838E-01   -6493.73729982685
         1702  3.99598E+00 -2.14653E+00  6.17339E-01 -1.02491E-01  2.17890E+00  2.34910E-01  3.70358E+00 -5.98709E-01  1.05769E-02  0.00000E+00  2.24542E-02  3.29586E-01 -6.18023E-02  1.66594E-01  3.09465E-02 -3.63590E-02  1.24575E-01  1.29788E-01  4.49321E-02 -2.66557E-02  2.94715E-01  3.10412E-02 -2.01335E-02 -3.70659E-03 -4.00122E-02  1.14641E-01 -2.69662E-02  3.22022E-02  5.29680E-03  4.72253E-02 -7.04757E-02  1.81436E-01 -3.47005E-02 -5.99457E-02  2.16362E-02 -1.19504E-01  2.52915E-02 -3.62014E-02  2.70224E-01  9.67391E-02 -7.07597E-03  3.21370E-02  3.57524E-03  1.77538E-02 -8.41055E-02  8.54065E-02  1.81690E-01   -6483.47949863371
         1703  3.93922E+00 -2.21504E+00  5.86354E-01 -1.09464E-01  2.27250E+00  1.65320E-01  3.74796E+00 -7.03501E-01  8.36276E-03  0.00000E+00  2.27252E-02  4.27879E-01 -4.23007E-02  2.40041E-01  4.22229E-02 -3.43306E-02  1.47053E-01  5.48158E-02  1.20745E-01 -4.28629E-02  3.42206E-01  5.98588E-02 -4.19899E-03 -9.98938E-03 -1.10819E-02  1.74118E-01 -4.95187E-03  6.90404E-03  1.02414E-02 -1.50631E-02 -8.05622E-02  2.76099E-01 -3.44957E-02 -3.29139E-02  2.83412E-02 -5.50838E-02  3.10378E-02  5.20059E-02  2.63159E-01  8.98343E-02  7.98058E-02  3.99251E-02  4.09091E-02  1.80283E-03 -4.19839E-02  2.30213E-02  1.83188E-01   -6496.48548848296
         1704  4.07972E+00 -2.20241E+00  5.17730E-01 -1.07917E-01  2.29891E+00  1.79225E-01  3.75372E+00 -6.29939E-01  9.30785E-03  0.00000E+00  2.40481E-02  2.99304E-01 -2.84887E-02  4.14706E-01  5.80785E-03 -1.59646E-02  1.19472E-01  9.15145E-02  1.28226E-01  1.80162E-02  3.40640E-01 -1.75251E-02  8.31530E-02 -3.61518E-02 -4.40997E-02  1.98106E-01  1.07538E-02 -6.24873E-02  3.37255E-02 -2.19642E-02 -6.13999E-02  2.03637E-01  2.09257E-03 -1.23296E-01 -1.57889E-02 -1.72118E-01  3.31704E-02  3.44269E-02  2.92776E-01  8.24106E-02  1.26225E-01  1.21087E-02  1.03571E-01  1.51839E-02 -7.90505E-02 -2.61320E-02  1.92085E-01   -6462.20200049056
         1705  3.92764E+00 -2.27930E+00  5.81753E-01 -1.60275E-01  2.25519E+00  2.45384E-01  3.80519E+00 -6.59326E-01  9.89162E-03  0.00000E+00  2.27685E-02  2.61097E-01 -3.64459E-02  3.46605E-01  5.69380E-02  5.23574E-02  1.37055E-01  4.60290E-02  2.08273E-01  6.36412E-02  3.59289E-01 -7.58975E-03 -4.84735E-03 -2.52871E-02 -1.08757E-01  2.11871E-01  4.97257E-03 -6.73357E-02 -2.65938E-04 -7.58966E-03 -6.45851E-02  1.90900E-01 -6.99297E-04 -1.23199E-01  3.34837E-04 -1.71288E-01  5.35282E-02  6.81407E-03  2.48221E-01  5.83773E-02  1.57380E-01  6.90532E-02  1.38990E-01 -4.31212E-02 -7.43022E-02 -4.28319E-02  2.14200E-01   -6471.29741453174
         1706  3.88926E+00 -2.21492E+00  5.37536E-01 -2.00932E-01  2.29694E+00  2.61208E-01  3.65266E+00 -7.89057E-01  9.37679E-03  0.00000E+00  2.21995E-02  3.74213E-01 -3.31150E-02  2.47938E-01  6.27386E-02  1.18134E-02  1.01046E-01  1.60332E-02  4.18135E-02  1.08725E-02  1.97976E-01  1.06880E-01 -2.53189E-03  3.50362E-02 -4.68877E-02  2.59346E-01 -6.21550E-02  2.78201E-02 -1.53813E-02 -1.94375E-02 -3.99292E-02  2.22019E-01  1.00344E-01 -5.26315E-02  4.57154E-02 -9.26091E-02  8.09020E-02 -3.63209E-02  2.71276E-01  9.82556E-02  6.01726E-02  4.56680E-02  4.60310E-02 -1.21516E-03 -6.40110E-02  5.44696E-02  1.59040E-01   -6519.40184001246
         1707  3.82953E+00 -2.17968E+00  5.53974E-01 -2.36981E-01  2.27217E+00  2.52812E-01  3.64936E+00 -7.60877E-01  8.05625E-03  0.00000E+00  2.37477E-02  3.06633E-01 -2.78178E-03  2.43621E-01  6.77279E-02 -1.42358E-02  1.16567E-01 -1.56836E-02  1.15349E-01 -8.71941E-03  2.80576E-01 -1.21290E-02 -9.04069E-04 -1.24887E-02 -8.49950E-02  2.53472E-01  2.16011E-02 -7.36447E-02  3.72200E-02 -3.08560E-02 -9.20179E-02  2.60145E-01  4.33108E-02 -6.41295E-02  4.91199E-02 -1.31782E-01  1.81798E-02  3.11607E-02  3.05845E-01  9.91671E-02  1.20866E-01  4.06482E-02  2.86356E-02  1.52912E-02 -1.27171E-01  6.08143E-02  2.51196E-01   -6492.14173994653
         1708  3.89104E+00 -2.23226E+00  5.45839E-01 -2.17218E-01  2.11044E+00  2.66968E-01  3.73659E+00 -6.92665E-01  8.20016E-03  0.00000E+00  2.38580E-02  2.84073E-01 -9.38295E-02  2.83512E-01  5.39594E-02 -3.96925E-02  1.73955E-01 -5.08046E-02  7.68819E-02 -4.24685E-02  2.94181E-01  7.21279E-02 -1.93124E-03  2.65527E-03 -1.56025E-01  2.82795E-01 -3.99388E-02 -2.57930E-02  1.49656E-03  1.08640E-01 -1.24694E-01  2.39588E-01  3.15592E-02 -3.19161E-02  4.31150E-02 -4.16046E-02  9.90175E-03 -1.10368E-02  1.69999E-01  3.50569E-02  1.32852E-01  3.51708E-02 -1.79115E-02  2.67375E-02 -9.77517E-02  4.11903E-02  2.28965E-01   -6456.31337376650
         1709  3.76421E+00 -2.26921E+00  6.54538E-01 -2.16298E-01  2.26136E+00  3.30124E-01  3.76573E+00 -8.04329E-01  9.19503E-03  0.00000E+00  2.34185E-02  3.22295E-01 -2.66685E-02  1.93887E-01  1.82825E-02  3.52078E-03  1.28446E-01 -4.31100E-02  1.59925E-01  1.62441E-03  3.59030E-01  4.39872E-02 -6.47040E-02 -2.86815E-03 -1.44253E-01  2.01390E-01 -9.00784E-02 -8.06975E-03  1.60513E-02  9.44368E-03 -2.79513E-02  1.65057E-01  7.30224E-02 -9.76350E-02 -3.71561E-02 -1.50006E-01  4.30720E-02  3.35464E-03  3.09304E-01  1.29469E-01  7.49444E-02  2.98256E-02  7.17399E-02 -2.50974E-02 -8.57395E-02  5.72796E-02  2.70680E-01   -6458.76155477467
         1710  3.94843E+00 -2.22506E+00  5.36486E-01 -2.09306E-01  2.20862E+00  2.27389E-01  3.80410E+00 -6.72975E-01  9.54217E-03  0.00000E+00  2.11381E-02  2.40388E-01  5.63099E-03  2.52151E-01  4.91815E-02  1.54462E-02  1.50646E-01  7.59960E-03  6.98965E-02 -2.24512E-02  2.25359E-01  5.67331E-02  8.67432E-02  1.38124E-02  2.26348E-02  2.27135E-01 -4.58094E-02 -2.47290E-02 -3.94992E-02 -1.39350E-02 -7.91778E-02  2.30731E-01  2.19517E-02 -4.51623E-02  6.16850E-02 -1.15015E-01  2.49493E-03 -3.93256E-02  2.39331E-01  8.17901E-02  7.02004E-02  1.09064E-01 -2.30106E-02  3.28957E-02 -9.27028E-02  1.21658E-01  2.46441E-01   -6528.54352851285
         1711  3.90753E+00 -2.44402E+00  5.05988E-01 -2.63219E-01  2.29555E+00  2.90050E-01  3.66881E+00 -7.90422E-01  9.12682E-03  0.00000E+00  2.19738E-02  4.94219E-01 -4.46732E-02  2.65184E-01  4.23262E-02 -2.45151E-02  9.89901E-02  3.25748E-02  1.03852E-01 -1.89051E-02  2.33971E-01 -1.62974E-02  4.39000E-02 -1.31166E-02 -4.32700E-02  1.75838E-01  4.63430E-02 -2.14849E-02  1.05955E-02  1.67137E-03 -5.51606E-02  2.30933E-01  4.98515E-02 -7.35555E-02  6.83810E-02 -1.16727E-01  2.30011E-02 -1.33103E-02  2.81891E-01  1.28502E-01  7.24777E-02  4.33034E-02  2.12760E-02  3.77530E-03 -6.62682E-02  7.36373E-02  2.38062E-01   -6493.42323168078
         1712  4.06200E+00 -2.24111E+00  4.53048E-01 -1.99948E-01  2.30645E+00  2.92977E-01  3.66436E+00 -6.77334E-01  9.25706E-03  0.00000E+00  2.30848E-02  3.62621E-01 -1.09203E-02  2.65918E-01 -6.93188E-02 -5.29240E-02  1.79355E-01  1.22344E-01  5.21841E-02 -7.54555E-02  2.61815E-01  1.61207E-01  9.06842E-03 -8.24278E-02  8.43882E-02  2.87517E-01 -6.92572E-02 -1.18535E-02  1.69220E-02 -2.03887E-02 -1.21172E-01  2.33757E-01 -1.97849E-02 -1.14198E-01  6.58811E-02 -7.47931E-02  4.59751E-03 -2.41573E-02  2.58477E-01  1.23113E-01  8.09280E-02 -4.02357E-02  8.21856E-02  1.00975E-01 -9.31723E-02  3.47087E-02  2.24598E-01   -6467.42482735637
         1713  3.87786E+00 -2.27986E+00  4.61388E-01 -1.45722E-01  2.21234E+00  2.84874E-01  3.66143E+00 -6.97494E-01  9.91707E-03  0.00000E+00  2.18498E-02  2.80434E-01  2.60289E-02  2.68632E-01  7.30487E-02 -2.72872E-02  1.66428E-01  7.86017E-03  3.80496E-02 -6.36763E-02  2.84049E-01  3.41379E-02 -7.99976E-03  1.01110E-02 -4.18931E-02  2.21298E-01 -5.41049E-02 -4.60970E-02  1.93076E-02  3.15438E-02 -8.67808E-02  3.13013E-01  2.22000E-02 -9.06563E-02  7.22098E-02 -8.80699E-02  5.97524E-03 -1.54065E-02  2.59527E-01  9.63367E-02  9.52085E-02  3.50133E-02  1.22811E-02  1.43479E-03 -8.14899E-02  2.90461E-02  1.84892E-01   -6495.44930568711
         1714  3.86745E+00 -2.15762E+00  4.75704E-01 -2.78825E-01  2.28071E+00  3.12380E-01  3.75632E+00 -6.48479E-01  8.54929E-03  0.00000E+00  2.38414E-02  2.83013E-01 -2.82949E-02  1.43743E-01  9.67133E-03 -1.15632E-02  1.22620E-01  3.76112E-02  5.22622E-02 -8.29986E-04  2.55932E-01 -2.67243E-02  6.07149E-02 -4.02761E-02 -1.13484E-01  3.63057E-01 -6.65064E-03 -6.42778E-03  3.23066E-02  1.01611E-02 -4.78985E-02  2.00101E-01  3.45310E-02 -1.36440E-02 -1.52733E-03 -7.49297E-02  9.31627E-02  2.25624E-02  2.14966E-01  6.75662E-02  5.14501E-02  3.73145E-03  1.04176E-02 -1.58397E-02 -5.86516E-02  3.90393E-02  1.87654E-01   -6478.49008371083
         1715  3.85325E+00 -2.29233E+00  4.45922E-01 -2.97719E-01  2.28519E+00  1.17336E-01  3.75109E+00 -7.17209E-01  7.75237E-03  0.00000E+00  2.29092E-02  3.00254E-01 -8.01678E-02  2.45785E-01  6.54585E-02 -4.15435E-02  1.20283E-01  3.18181E-02  1.17718E-01 -5.48211E-02  2.99315E-01  7.32889E-02 -6.88729E-02  4.93922E-02 -7.18250E-02  1.98541E-01 -7.89611E-03 -2.53766E-02  1.40985E-02 -1.84742E-02 -4.14036E-02  2.22093E-01  3.56594E-02 -1.29326E-01  5.43778E-02 -1.86772E-01  8.90412E-02  3.03309E-02  3.15676E-01  4.48302E-02  7.00507E-02  1.71596E-02  9.61750E-03  1.45798E-02 -5.96570E-02  4.20568E-02  1.72871E-01   -6515.67978252710
         1716  3.98271E+00 -2.23586E+00  4.86221E-01 -1.06102E-01  2.16825E+00  1.91898E-01  3.60444E+00 -6.05236E-01  9.24317E-03  0.00000E+00  2.23472E-02  2.47234E-01 -4.61551E-03  2.54404E-01  5.46014E-02 -1.83647E-02  1.48520E-01  4.03256E-02  1.02579E-01  3.76838E-03  3.21295E-01 -1.15488E-02 -3.78925E-02  3.24716E-02 -4.33917E-02  2.12871E-01 -2.28315E-02  1.93243E-02  3.28874E-02  1.00718E-01 -6.49110E-02  2.44294E-01  7.07310E-02 -6.12692E-02  7.31808E-02 -1.36824E-02  1.45437E-02  6.24591E-02  2.52853E-01  1.00450E-01  1.07322E-01  7.98247E-02  4.85544E-02 -2.72495E-02 -3.55947E-02  6.05293E-02  2.33351E-01   -6490.61607837817
         1717  3.80672E+00 -2.22184E+00  4.99409E-01 -2.38228E-01  2.25173E+00  1.80197E-01  3.60183E+00 -7.45262E-01  8.95540E-03  0.00000E+00  2.30126E-02  2.34035E-01 -8.45176E-03  3.34219E-01  7.93480E-04 -8.87634E-02  2.53701E-01  1.19431E-02  1.48754E-01 -1.14467E-01  2.86937E-01  9.03600E-03 -4.26196E-02  7.85889E-02 -9.77310E-02  1.92295E-01 -6.95484E-03 -5.98887E-03  4.76437E-02  5.26682E-03 -5.37186E-02  2.02979E-01 -1.58938E-02 -2.03921E-01  9.24511E-02 -1.23241E-01  7.92347E-02 -6.15407E-02  3.70544E-01  3.39223E-02  8.32187E-02  4.88021E-02  5.95341E-02 -5.05364E-03 -5.20707E-02  4.31888E-02  2.06959E-01   -6483.64218115124
         1718  3.91142E+00 -2.30159E+00  5.27980E-01 -5.93644E-02  2.12744E+00  4.14725E-01  3.72390E+00 -7.97321E-01  9.54903E-03  0.00000E+00  2.20434E-02  4.40454E-01  5.19318E-02  2.50797E-01  1.30643E-01  3.45957E-02  1.85629E-01  1.27117E-01  1.55851E-01  3.11382E-02  3.16097E-01  7.14674E-02  4.89475E-02  8.24947E-02  2.02859E-04  2.11022E-01 -5.96370E-02 -2.77550E-02 -1.21717E-04 -3.24592E-02 -6.21736E-02  1.58866E-01 -1.10079E-01 -8.80205E-02 -5.08755E-02 -1.81876E-01 -1.53117E-03  3.78237E-02  3.94573E-01  2.40499E-01  1.39971E-01  9.81548E-02  1.79275E-01 -3.43348E-04 -7.52640E-02 -7.86320E-02  3.94551E-01   -6451.03671445069
         1719  3.86530E+00 -2.37573E+00  5.38721E-01 -2.89181E-01  2.24136E+00  2.95763E-01  3.75784E+00 -8.46062E-01  9.43697E-03  0.00000E+00  2.20351E-02  2.57867E-01 -4.01475E-02  2.61453E-01  2.08943E-02  5.26437E-03  1.32528E-01 -1.30673E-02  1.69422E-01  6.01708E-03  3.94287E-01  6.22547E-02 -1.20889E-02 -1.18640E-04 -1.02633E-01  1.73835E-01 -3.93428E-02  3.18693E-02  1.31683E-02  8.93745E-02 -9.41643E-02  1.82361E-01  7.25440E-03 -9.02899E-02  2.87122E-02 -9.74380E-02  8.26034E-03 -1.04737E-02  2.66003E-01  1.02443E-01  1.43600E-02  4.05499E-02  3.09240E-02  1.46326E-02 -2.40471E-02  8.23253E-02  1.84129E-01   -6519.24942858477
         1720  3.94956E+00 -2.27287E+00  5.89291E-01 -2.24646E-01  2.32666E+00  1.83141E-01  3.74172E+00 -6.18390E-01  9.83135E-03  0.00000E+00  2.10252E-02  3.32589E-01 -3.57657E-02  2.78104E-01  4.81942E-02 -1.01033E-02  1.34404E-01 -3.00568E-02  6.04318E-02 -4.13341E-02  2.65341E-01  3.66711E-02  7.68987E-02  3.28114E-02 -7.29525E-02  2.39425E-01 -1.89120E-02 -4.01717E-02  2.24538E-02 -2.72440E-03 -8.01923E-02  2.31570E-01 -2.86133E-02 -9.56624E-02  6.72017E-02 -1.49304E-01  4.08276E-03  3.17636E-02  2.97971E-01  1.15795E-01  1.44867E-02  7.93163E-02 -3.82704E-02  2.05435E-02 -8.06867E-02  1.20928E-01  2.98598E-01   -6513.05972254606
         1721  3.97694E+00 -2.21995E+00  5.73749E-01 -1.36733E-01  2.31271E+00  1.75915E-01  3.80418E+00 -5.14049E-01  8.18869E-03  0.00000E+00  2.17509E-02  2.51170E-01 -3.75192E-02  2.47837E-01  4.69343E-03  3.73823E-02  1.64762E-01  1.42050E-02  8.30095E-02  5.49296E-02  2.46355E-01 -7.16639E-03 -4.18913E-03  2.21275E-02 -5.63599E-02  1.83450E-01 -8.11422E-03  6.23404E-02  1.02427E-01  9.75905E-02 -1.15083E-01  3.63799E-01 -1.57856E-02 -3.63836E-02 -4.15085E-02 -9.89479E-02 -6.23142E-03 -4.21707E-02  1.99255E-01  4.83272E-02  8.89746E-02  4.40395E-02  4.92414E-02 -9.32508E-05 -9.42720E-03  3.57957E-02  1.94104E-01   -6487.49537507395
         1722  3.84770E+00 -2.23120E+00  6.03909E-01 -1.18527E-01  2.19183E+00  2.68508E-01  3.74285E+00 -6.78819E-01  9.22252E-03  0.00000E+00  2.21089E-02  4.17193E-01 -9.30517E-02  2.81042E-01 -3.05191E-02  2.24788E-02  1.99083E-01  3.89099E-02  1.26102E-01 -6.73931E-02  3.40478E-01 -5.84915E-02  1.35864E-02 -8.46391E-04 -4.17235E-02  2.26998E-01 -6.61368E-02 -1.78305E-02  4.21524E-02 -1.96286E-02 -5.42929E-02  1.60636E-01  6.13090E-02 -1.85899E-02  3.68418E-02 -9.72149E-02 -3.06350E-02 -2.04143E-02  2.59117E-01  6.51150E-02  1.38524E-01  9.02993E-02  8.00775E-02 -8.44445E-02 -4.05633E-02  8.48878E-02  3.14581E-01   -6543.41938314410
         1723  3.92008E+00 -2.19664E+00  5.05032E-01 -1.92074E-01  2.28869E+00  2.18695E-01  3.58267E+00 -7.36460E-01  9.22829E-03  0.00000E+00  2.33716E-02  4.02435E-01 -6.94774E-02  2.44210E-01 -2.69878E-03 -3.71799E-05  1.82802E-01 -3.79036E-02  9.68228E-02 -6.51568E-02  3.38353E-01 -2.21362E-02  2.94783E-02 -4.62233E-02  1.46153E-02  2.47196E-01 -1.97255E-02 -3.81662E-02  7.75043E-02 -5.16527E-02 -1.21813E-01  2.11510E-01  2.34732E-02 -4.23850E-02  7.33737E-03 -8.35527E-02  2.59570E-02 -1.23752E-02  2.33948E-01  1.28017E-01  9.37457E-02 -3.97516E-03  7.54342E-02  3.29290E-02 -1.14441E-01  5.61261E-02  2.48142E-01   -6535.80079344734
         1724  3.58078E+00 -2.05638E+00  6.34969E-01 -1.11070E-01  2.29824E+00  2.72557E-01  3.68631E+00 -7.68534E-01  8.26467E-03  0.00000E+00  2.28362E-02  2.54647E-01 -8.91987E-02  3.61435E-01  5.45662E-02 -6.10943E-02  1.73094E-01  6.28418E-02  9.52566E-02  4.90651E-02  2.47686E-01 -5.27989E-03  4.46464E-02 -5.92694E-03 -4.21097E-02  1.91044E-01 -2.66106E-02 -2.82810E-02  2.00394E-02 -6.06199E-03 -6.45839E-02  1.35072E-01  5.75898E-02 -1.23042E-01  3.01795E-02 -2.03042E-02  5.44153E-03  3.97308E-03  2.15858E-01  8.72897E-02  4.32517E-02  2.79027E-02  8.99607E-02 -3.60004E-03 -5.42858E-02  3.95494E-02  2.09698E-01   -6523.12382202495
         1725  3.89440E+00 -2.21090E+00  6.50202E-01 -1.84506E-01  2.21407E+00  1.89797E-01  3.74762E+00 -5.85325E-01  8.50412E-03  0.00000E+00  2.23729E-02  4.20226E-01 -2.56650E-02  2.59078E-01  1.75493E-02  2.42022E-02  1.12416E-01  7.10470E-02  1.04965E-01  4.47219E-02  2.38452E-01 -4.09565E-02  4.94296E-02  7.70419E-03 -2.11262E-02  1.89887E-01 -2.59522E-02 -6.63701E-02  2.40426E-02 -5.34581E-02 -7.52697E-02  1.88476E-01 -6.75109E-03 -7.92681E-02 -2.83850E-02 -1.10297E-01  1.23003E-03  5.33877E-02  2.41179E-01  1.93132E-01  8.01830E-02  2.77746E-02  8.14496E-02  3.65426E-03 -7.67672E-02  2.23623E-02  2.71777E-01   -6488.96875398581
         1726  3.93288E+00 -2.28906E+00  5.69045E-01 -1.77086E-01  2.21730E+00  2.26451E-01  3.69445E+00 -6.70310E-01  9.43684E-03  0.00000E+00  2.24525E-02  2.40978E-01 -3.92694E-02  2.02888E-01  4.26464E-02 -2.62805E-02  1.44318E-01 -1.87749E-02  5.80444E-02 -7.23902E-03  2.44089E-01  4.07778E-02 -1.59532E-02  2.56642E-02 -2.05962E-02  2.11990E-01  7.94558E-04  3.46111E-03  2.51705E-02 -4.84431E-02 -1.09042E-01  1.95942E-01  3.14019E-02 -3.62856E-03  1.28946E-02 -7.08157E-02  1.06065E-02  3.34090E-02  1.97761E-01  4.97419E-02  4.48737E-02  3.95090E-02 -4.16478E-03  2.18793E-02 -3.25803E-02  4.46795E-02  1.41695E-01   -6511.66483013824
         1727  3.89911E+00 -2.23402E+00  6.41481E-01 -9.50142E-02  2.24508E+00  2.75299E-01  3.65498E+00 -7.25933E-01  8.83826E-03  0.00000E+00  2.40897E-02  3.95906E-01 -8.24820E-02  2.94189E-01  7.50187E-02 -2.89555E-02  1.18650E-01  8.25443E-02  3.92620E-02 -2.96137E-04  2.51907E-01  7.25346E-02  3.94471E-02 -1.13833E-02  2.86806E-02  2.38150E-01 -9.54314E-02 -3.85708E-02 -3.23899E-03 -1.68603E-02 -1.35918E-01  2.42600E-01  5.94324E-02 -1.13754E-01  3.39249E-02 -9.82209E-02  2.58932E-02 -5.57287E-02  2.49428E-01  1.61540E-01  1.50570E-01  7.90830E-02  2.84585E-02  5.87321E-02 -1.35619E-01  3.67692E-02  3.75763E-01   -6492.01780573413
         1728  3.78268E+00 -2.20509E+00  5.69441E-01 -1.79583E-01  2.20593E+00  3.53609E-01  3.66476E+00 -6.89816E-01  8.74922E-03  0.00000E+00  2.33614E-02  3.01765E-01 -2.86711E-02  1.76280E-01  3.16768E-02  9.04944E-03  1.10691E-01  4.80914E-02  7.77546E-02  2.39914E-02  2.84589E-01  6.48779E-02  4.43167E-02 -9.14055E-03 -1.96849E-02  2.61048E-01 -4.23562E-02 -4.36912E-02 -5.40009E-03 -4.57569E-02 -7.32299E-02  2.02264E-01  2.50359E-02 -3.06779E-02  3.51035E-02 -6.93033E-02  1.80870E-02 -5.12078E-02  3.02286E-01  1.05381E-01  4.94429E-02  7.88213E-02  5.20245E-02 -2.98624E-02 -8.05892E-02  1.00716E-01  2.51598E-01   -6493.38685863762
