TABLE NO.     2: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   OMEGA(5,1)   OMEGA(5,2)   OMEGA(5,3)   OMEGA(5,4)   OMEGA(5,5)   OMEGA(6,1)   OMEGA(6,2)   OMEGA(6,3)   OMEGA(6,4)   OMEGA(6,5)   OMEGA(6,6)   OMEGA(7,1)   OMEGA(7,2)   OMEGA(7,3)   OMEGA(7,4)   OMEGA(7,5)   OMEGA(7,6)   OMEGA(7,7)   OMEGA(8,1)   OMEGA(8,2)   OMEGA(8,3)   OMEGA(8,4)   OMEGA(8,5)   OMEGA(8,6)   OMEGA(8,7)   OMEGA(8,8)   MCMCOBJ
        -3990  3.96067E+00 -2.30779E+00  6.08063E-01 -3.09349E-01  2.25793E+00  1.38027E-01  3.68735E+00 -7.46092E-01  7.87585E-03  0.00000E+00  2.41795E-02  1.95462E-01 -2.49119E-03  1.64071E-01  4.28054E-02  9.85174E-03  1.68887E-01  3.60357E-02  6.55056E-02 -1.42443E-03  2.28349E-01  2.19652E-02  5.42826E-02 -2.06431E-02 -8.20001E-03  1.78697E-01 -1.68850E-02  3.42520E-03  1.48990E-02  1.01798E-02 -4.97830E-02  1.49905E-01 -3.77468E-03 -4.53087E-02  6.77032E-03 -6.00930E-02 -3.14039E-02  2.09375E-02  2.31769E-01  7.32611E-02  8.14017E-02  5.34501E-02  6.38761E-02 -1.74701E-02 -2.64264E-02  2.49589E-02  1.72083E-01   -6694.73455706606
        -3989  3.96930E+00 -2.27687E+00  5.89535E-01 -2.01594E-01  2.21466E+00  3.49213E-01  3.83165E+00 -7.11897E-01  8.63992E-03  0.00000E+00  1.78691E-02  4.07051E-01 -2.28966E-02  1.46431E-01  8.78154E-02 -1.20048E-03  1.19004E-01  8.64442E-02  2.75456E-02 -8.65557E-03  2.52485E-01  1.68189E-02 -5.35612E-03  1.40697E-02 -5.46442E-02  1.71453E-01  3.48774E-02  1.70832E-02  4.38444E-02  9.21903E-03 -9.29951E-02  2.51399E-01 -4.83246E-03 -1.45703E-02  6.00307E-03 -8.35863E-02  2.47224E-02  9.00496E-03  1.55003E-01  1.08161E-01  9.01852E-02  3.93442E-02  6.56101E-02 -2.37525E-02 -5.44662E-02  2.47500E-02  3.07529E-01   -6674.96623475631
        -3988  4.07744E+00 -2.15077E+00  5.68422E-01 -2.04696E-01  2.35867E+00  1.44790E-01  3.78033E+00 -5.32725E-01  7.52856E-03  0.00000E+00  2.04453E-02  3.21554E-01 -4.70276E-02  1.36932E-01  9.07039E-02 -2.90804E-02  1.10968E-01  6.19977E-02  2.28420E-02 -1.04996E-02  1.96415E-01 -5.89278E-03  7.67397E-03 -1.89440E-02 -7.65394E-02  1.74995E-01  6.09723E-02  1.10123E-02  1.41024E-02  4.97836E-02 -6.82702E-02  1.64162E-01 -5.44258E-03 -3.25885E-02  3.19914E-02 -6.52053E-02  2.61948E-02 -5.23941E-03  2.19690E-01  9.31833E-02  7.52765E-02  3.00284E-02  5.53591E-02 -1.67960E-02  1.02989E-02 -2.34886E-03  1.62883E-01   -6667.70545179920
        -3987  3.93167E+00 -2.11757E+00  5.60729E-01 -6.83160E-02  2.17116E+00  2.60524E-01  3.50483E+00 -6.46468E-01  7.11212E-03  0.00000E+00  2.11546E-02  2.45702E-01 -2.35234E-02  1.98334E-01  4.53794E-02 -3.23300E-02  9.83888E-02  5.51894E-02  3.63198E-02  4.52179E-05  2.48385E-01  3.10811E-02  1.22395E-02 -2.31241E-03 -1.80736E-02  2.00359E-01 -3.91119E-02  5.21728E-03  1.69101E-02  2.86490E-02 -8.19629E-02  2.00110E-01 -2.24844E-02 -2.61553E-02  2.29259E-02 -8.00433E-02  9.95618E-03  2.29807E-03  1.98374E-01  9.79479E-02  1.02403E-01  3.63667E-02  5.19284E-02 -4.42581E-02 -5.18269E-02  2.08975E-02  2.40519E-01   -6694.92672853768
        -3986  3.87257E+00 -2.14095E+00  5.14322E-01 -8.36523E-02  2.23983E+00  2.82967E-01  3.76868E+00 -6.77842E-01  7.56300E-03  0.00000E+00  2.18002E-02  2.29477E-01 -2.00438E-02  1.42514E-01  3.50696E-02 -1.40453E-02  8.75990E-02 -7.63621E-03  8.06507E-02 -3.96704E-02  2.65090E-01  5.77643E-02 -5.17753E-04  1.69320E-03 -8.39520E-02  2.22359E-01 -1.94925E-03 -6.15875E-03  1.19774E-02  1.32265E-02 -7.21514E-02  1.57755E-01  1.76188E-02 -3.27572E-02  2.89060E-02 -4.92653E-02  4.57815E-03 -6.40504E-03  1.89620E-01  6.88828E-02  9.39591E-02  2.08442E-02  1.03752E-01 -5.40284E-02 -3.07449E-02  3.20694E-02  2.20102E-01   -6725.93129971965
        -3985  3.95669E+00 -2.21209E+00  6.10807E-01 -1.83184E-01  2.24149E+00  2.54238E-01  3.77347E+00 -5.57689E-01  7.07854E-03  0.00000E+00  2.24208E-02  4.50129E-01 -4.85750E-02  1.76124E-01  5.78879E-02 -2.20617E-02  9.38404E-02  8.85517E-02  4.89381E-02 -1.27707E-02  1.74398E-01  3.93966E-02  4.44905E-02 -3.82515E-02 -1.24050E-02  2.35695E-01 -5.60970E-02 -3.52064E-02  1.16751E-02 -3.47636E-02 -9.09703E-02  2.20617E-01  1.18493E-01 -2.98910E-02  6.14017E-02 -5.26080E-02  2.15173E-02  5.78010E-03  2.91513E-01  2.43235E-01  7.78494E-02  4.65705E-02  7.63458E-02  6.60316E-03 -7.71718E-02  9.25842E-02  2.75604E-01   -6674.99706531946
        -3984  3.92641E+00 -2.25562E+00  5.79876E-01 -8.80609E-02  2.16843E+00  2.42330E-01  3.61275E+00 -7.40850E-01  8.19446E-03  0.00000E+00  2.29191E-02  3.46765E-01 -6.51457E-02  1.92441E-01  7.36668E-02 -3.05507E-02  1.41626E-01 -5.42175E-02  6.34242E-02 -5.49160E-02  2.40986E-01  1.63429E-02  2.53263E-02 -8.63460E-03 -6.25725E-02  1.75727E-01 -3.97314E-02  4.60292E-02  2.66445E-02  8.61235E-02 -9.62286E-02  2.96725E-01  3.44076E-02 -2.26861E-02  6.16397E-02 -6.10831E-02  2.33011E-02 -3.26086E-03  1.88886E-01  8.37619E-02  7.60787E-02  5.17804E-02  2.95773E-02 -5.92657E-03 -2.61431E-02  5.05681E-02  1.92363E-01   -6695.85009023098
        -3983  3.90379E+00 -2.26228E+00  5.46350E-01 -2.83636E-01  2.28372E+00  2.79323E-01  3.77476E+00 -8.24967E-01  8.56157E-03  0.00000E+00  2.10578E-02  2.68172E-01 -3.06262E-02  1.94843E-01 -1.72415E-02 -4.95081E-03  9.54908E-02  5.66789E-02  5.25186E-02 -5.50502E-02  2.37731E-01 -2.09442E-02  3.87711E-02 -1.08155E-02 -7.56543E-02  2.21740E-01 -1.84932E-04  4.76198E-02  5.15346E-02  1.38391E-02 -7.69964E-02  2.53770E-01  2.92577E-02 -4.92771E-02  1.64140E-02 -5.92464E-02  6.47369E-02 -8.70452E-03  2.15029E-01  1.06765E-01  6.62229E-02 -2.62779E-02  7.05016E-02  1.98547E-02 -4.72344E-02  2.72794E-02  1.66578E-01   -6686.89188353648
        -3982  3.91223E+00 -2.25806E+00  5.32579E-01 -1.65935E-01  2.34916E+00  1.64138E-01  3.69643E+00 -7.12716E-01  8.11312E-03  0.00000E+00  2.26083E-02  3.09349E-01 -8.00304E-02  2.37216E-01  3.44090E-02 -9.34344E-03  1.10984E-01  1.44191E-02  2.51068E-02 -4.97366E-02  2.13956E-01  3.31152E-02  3.75486E-02 -4.78005E-03 -6.88129E-02  1.77058E-01 -1.38892E-02  3.03545E-02  2.72064E-02 -1.24848E-03 -2.71653E-02  1.95472E-01  8.75795E-03 -4.99344E-02  2.86679E-02 -4.97160E-02  8.54555E-03  2.29489E-03  1.91982E-01  1.04321E-01  6.31901E-02  5.72128E-02  2.84557E-02 -9.09975E-03 -5.25671E-02  4.27413E-02  2.42076E-01   -6729.47365612672
        -3981  3.85917E+00 -2.11125E+00  5.97430E-01 -1.19621E-01  2.15652E+00  2.13190E-01  3.60583E+00 -7.23109E-01  7.98047E-03  0.00000E+00  2.13001E-02  2.28168E-01 -1.73666E-02  2.14452E-01  3.52880E-02 -4.53026E-02  9.03927E-02  5.65026E-02  6.52310E-02 -3.74033E-02  2.42772E-01 -3.58198E-02  2.54578E-02 -2.97110E-02 -4.03795E-02  1.92284E-01  3.88469E-02 -4.92064E-04  5.19209E-02  4.07039E-02 -1.25325E-01  2.51091E-01  3.75425E-02 -5.04003E-02  3.23762E-02 -4.55129E-02  1.22497E-02  2.09782E-02  1.72366E-01  7.63576E-02  1.36381E-01 -7.27076E-03  5.26010E-02 -9.44926E-03 -1.48109E-02  4.14261E-02  2.17864E-01   -6691.49186729812
        -3980  3.77907E+00 -2.24465E+00  5.62953E-01 -2.32941E-01  2.29992E+00  1.95676E-01  3.72237E+00 -7.57767E-01  8.17579E-03  0.00000E+00  2.16088E-02  2.62936E-01 -5.76040E-02  1.61051E-01  1.20656E-02 -1.19684E-02  8.01966E-02  6.38903E-02  6.81471E-03 -2.20590E-02  2.32735E-01 -3.52369E-03  2.91218E-02 -2.42683E-03 -2.89233E-02  1.65472E-01 -2.71087E-03  1.65002E-02  1.51407E-02 -3.83744E-03 -4.92029E-02  1.61245E-01  1.67198E-02 -8.31307E-02  6.05257E-03 -1.43400E-02  4.05343E-02  2.81584E-02  2.85419E-01  8.45733E-02  5.61854E-02  9.88913E-03  4.58313E-02  2.49502E-02 -5.20999E-02  1.68486E-02  2.00263E-01   -6719.62099716167
        -3979  3.96591E+00 -2.28338E+00  6.00913E-01 -1.28430E-01  2.27876E+00  1.85289E-01  3.82529E+00 -6.39421E-01  7.42843E-03  0.00000E+00  2.05742E-02  2.13398E-01 -5.12030E-02  1.67262E-01  4.55509E-02 -3.81316E-02  9.33770E-02  1.40913E-03  8.54345E-02 -4.40523E-02  2.42437E-01 -2.11074E-04  1.37652E-02  6.19411E-03  1.07772E-03  1.50819E-01 -1.20991E-02  1.35721E-04  4.95786E-03  1.59755E-02 -4.19331E-02  1.27171E-01  1.49539E-02 -3.46383E-02  2.43245E-02 -6.35325E-02 -2.84785E-03  2.08256E-02  2.20926E-01  7.19202E-02  7.48049E-02  2.10110E-03  5.16425E-02 -2.23233E-02 -2.32323E-02  4.25215E-02  1.87468E-01   -6701.44825039524
        -3978  3.79952E+00 -2.24996E+00  5.34937E-01 -1.72995E-01  2.26760E+00  2.61017E-01  3.81458E+00 -7.58980E-01  8.13517E-03  0.00000E+00  2.07074E-02  1.92651E-01 -8.12425E-02  2.07824E-01  2.13178E-02 -1.13264E-02  8.41475E-02  2.94752E-02  3.41476E-02 -2.59871E-02  1.99603E-01  1.72058E-03  1.60743E-02 -7.54507E-03 -5.03912E-02  1.87286E-01 -1.40003E-02  3.20742E-03  2.95084E-02  3.75897E-03 -6.01045E-02  2.16619E-01  4.02859E-02 -5.22362E-02  1.25308E-02 -3.68429E-02  1.94458E-02  3.79363E-02  2.21422E-01  5.78993E-02  5.44269E-02  1.75505E-03  6.90251E-02 -3.93688E-02 -4.38935E-02  5.07182E-02  1.90610E-01   -6698.11598532285
        -3977  3.99408E+00 -2.26228E+00  5.65081E-01 -1.36015E-01  2.31573E+00  1.55534E-01  3.75435E+00 -7.20223E-01  8.45888E-03  0.00000E+00  2.17799E-02  2.18516E-01 -4.55389E-02  1.26878E-01  4.48164E-03 -1.28728E-02  1.08030E-01  3.41100E-02  4.29226E-02 -4.21066E-02  2.84494E-01 -1.92304E-02  2.82908E-02 -1.91866E-02  3.74066E-03  1.73798E-01 -1.68443E-02 -1.77886E-02  5.25705E-02  6.08738E-03 -4.08265E-02  1.79214E-01  8.65720E-03 -5.53569E-02  6.89791E-02 -1.13510E-01  1.18741E-02  4.92867E-02  4.01099E-01  6.95339E-02  5.13494E-02  4.29388E-02  1.78206E-02 -2.79759E-02 -4.13708E-02  7.34823E-02  2.13196E-01   -6718.63340262914
        -3976  3.98335E+00 -2.16938E+00  5.56001E-01 -2.02612E-01  2.16649E+00  2.62509E-01  3.74208E+00 -6.13252E-01  7.79501E-03  0.00000E+00  2.12504E-02  2.89761E-01 -1.74033E-02  2.20553E-01  2.74148E-02 -1.32082E-02  9.10122E-02  1.60501E-02  8.39257E-02 -5.17026E-02  2.73073E-01  7.25785E-03  3.47667E-02 -1.48212E-02 -1.41798E-02  1.58846E-01 -4.37324E-02 -5.52499E-03  3.16060E-02 -3.84704E-03 -7.50400E-02  2.62515E-01  1.76658E-02 -6.69100E-02  5.79702E-02 -1.77703E-01 -1.38948E-02  1.07935E-02  2.98127E-01  9.22809E-02  8.14067E-02  1.58883E-02  4.12338E-02  3.96048E-03 -8.28163E-02  4.93590E-02  1.90545E-01   -6728.13592046595
        -3975  3.93030E+00 -2.22208E+00  5.84940E-01 -1.86230E-01  2.23677E+00  1.52919E-01  3.68892E+00 -6.55423E-01  8.65442E-03  0.00000E+00  1.87831E-02  3.04851E-01 -6.24460E-02  1.70214E-01  2.52294E-02 -4.38242E-03  1.08555E-01  7.41028E-02 -4.07825E-03  2.28127E-02  2.00990E-01  3.32473E-02  1.38303E-02  6.10286E-03 -3.00880E-02  1.87781E-01 -5.77009E-02  1.74198E-02  5.01351E-02  4.73746E-02 -9.56638E-02  2.41116E-01  2.25401E-02 -3.64558E-02  2.83600E-02 -5.61196E-02  3.60248E-02 -2.38623E-02  2.31030E-01  8.76922E-02  8.13473E-02 -6.04811E-03  1.16329E-02 -3.40969E-03 -7.49103E-02  2.57521E-02  2.00675E-01   -6702.53878557373
        -3974  3.81989E+00 -2.05146E+00  5.57634E-01 -7.78789E-02  2.32671E+00  3.15923E-01  3.76176E+00 -6.98677E-01  7.74653E-03  0.00000E+00  2.03168E-02  2.83522E-01  4.43841E-02  1.62603E-01  2.70181E-02 -6.76331E-03  1.04589E-01  9.57065E-02  7.30481E-02  9.47318E-03  2.52810E-01  8.47381E-04  4.60357E-02 -1.57448E-02 -7.61384E-02  2.10394E-01 -2.17743E-02  4.88763E-04 -4.64218E-03  1.05066E-01 -1.52403E-01  3.46997E-01 -1.07325E-02 -3.22790E-02  2.92252E-02 -5.61016E-02  1.26869E-02 -3.14319E-02  1.60941E-01  1.58930E-01  8.69197E-02  2.62743E-02  9.35963E-02  5.80634E-03 -3.89107E-02  2.69723E-02  2.34816E-01   -6662.13739658817
        -3973  3.92992E+00 -2.25287E+00  5.40571E-01 -1.35175E-01  2.26288E+00  2.49318E-01  3.71285E+00 -7.91654E-01  8.66571E-03  0.00000E+00  2.18422E-02  2.40574E-01  1.66607E-02  1.66042E-01  6.89506E-02  9.94946E-04  1.43209E-01 -1.92342E-02  1.44525E-02 -2.04366E-02  1.81936E-01  7.37701E-02  2.18923E-02  3.35658E-02 -2.19993E-03  1.98797E-01 -6.04134E-02 -9.12216E-03  7.81658E-03  1.50828E-02 -1.05417E-01  2.23601E-01  1.43757E-03  5.34866E-03  1.00024E-02 -3.77586E-02  3.71409E-02 -4.74094E-02  1.90228E-01  1.32529E-01  1.34034E-01  9.05913E-02 -3.69539E-02  4.00320E-02 -1.17344E-01  8.95217E-02  4.03683E-01   -6680.44636982088
        -3972  3.91876E+00 -2.21821E+00  5.18410E-01 -1.73284E-01  2.26495E+00  2.05576E-01  3.61237E+00 -7.47711E-01  8.35329E-03  0.00000E+00  2.02177E-02  3.06440E-01 -2.54959E-02  1.68425E-01  3.75019E-02 -5.28467E-03  1.11696E-01  4.78496E-02  1.74514E-02 -9.46822E-03  2.09378E-01  7.79174E-02  3.67119E-02 -5.71326E-03 -9.81244E-03  2.30952E-01 -9.08748E-02 -1.30213E-02  4.41691E-02  1.50538E-03 -1.26346E-01  2.65977E-01  2.99779E-02 -3.82139E-02  2.47319E-02 -9.01070E-03 -3.10210E-03  8.67110E-03  2.17514E-01  1.55471E-01  8.86462E-02  4.23343E-02  1.09719E-01  2.81655E-02 -8.46960E-02  3.76668E-02  3.13216E-01   -6697.41189061320
        -3971  3.98008E+00 -2.30211E+00  5.69305E-01 -2.88242E-01  2.29782E+00  2.80303E-01  3.69401E+00 -8.13744E-01  8.48374E-03  0.00000E+00  2.11590E-02  2.25570E-01 -6.31592E-02  2.28099E-01  4.47740E-02 -4.30064E-02  1.01235E-01  6.51053E-03  7.00499E-02  1.07364E-02  2.22082E-01  4.57422E-02 -1.20110E-02  1.79271E-02 -3.42309E-02  1.71330E-01 -9.68190E-03 -7.92248E-03  3.27062E-03  3.03388E-03 -7.49333E-02  2.32050E-01  6.81634E-02 -4.28724E-02  3.83219E-02 -8.26593E-02  3.39286E-02  3.92648E-02  2.49071E-01  4.17548E-02  1.24770E-01  2.26718E-02  7.96199E-02 -1.62107E-02 -8.48534E-02  1.98125E-02  2.43295E-01   -6718.97305939313
